"code","address","locality","polling.places","voters","county","district"
"27005 ","Fish Town Public School","Fish Town",1,493,"Maryland",1
"27022 ","Yookudi Elem. School","Yookudi",2,824,"Maryland",1
"27028 ","Rock Town Public School","Rock Town",2,524,"Maryland",1
"27029 ","Mission Town Hall","Mission Town",1,126,"Maryland",1
"27032 ","Whole Graway Elem. School","Whole Graway",1,219,"Maryland",1
"27033 ","Pullah Elem. School","Pullah",1,417,"Maryland",1
"27036 ","Wuduke Palava Hut","Wuduke",2,879,"Maryland",1
"27074 ","Cape Palmas High School","Harper",3,1306,"Maryland",1
"27075 ","Agnes Thompson Elem. School","Harper",3,1404,"Maryland",1
"27076 ","New Kru Town Hall","New Kru Town, Harper",2,753,"Maryland",1
"27077 ","New Kru Town Palava Hut","New Kru Town, Harper",2,811,"Maryland",1
"27078 ","East Harper Elem. School","Harper",4,1837,"Maryland",1
"27035 ","Worteken Town Hall","Worteken",1,199,"Maryland",1
"06084 ","Yopea Palava Hut","Yopea",2,988,"Bong",1
"06145 ","U-lah Public School","U-lah",3,1053,"Bong",1
"06143 ","Nangbo Palava Hut","Nangbo",1,467,"Bong",1
"06141 ","Gbalorkpala Public School","Gbarlorkpalah",2,867,"Bong",1
"06140 ","Botota Public School","Botota",2,918,"Bong",1
"06139 ","Rock Crusher Palava Hut","Rock Crusher",2,799,"Bong",1
"06138 ","Gbelletay Palava Hut","Gbelletay",1,285,"Bong",1
"06137 ","Doe Public School","Doe",1,495,"Bong",1
"06136 ","Gold Camp Palava Hut","Gold Camp",4,1728,"Bong",1
"06146 ","Gbecohn Public School","Gbecohn",3,1363,"Bong",1
"06122 ","Dahn-kan Palava Hut","Dahn-kan",3,1173,"Bong",1
"06144 ","Tokpa-ta Public School","Tokpa-ta",3,1003,"Bong",1
"06078 ","Zeby Public School","Zebay",4,1903,"Bong",1
"06052 ","Zowienta Public School","Zowienta",5,2043,"Bong",1
"06051 ","Green Hill Quarry Public School","Green Hill Quarry",1,355,"Bong",1
"06046 ","Palala Public School","Palala",6,2573,"Bong",1
"06028 ","Tarsai Palava Hut","Tarsai",2,898,"Bong",1
"06020 ","Galai Public School","Galai",3,1272,"Bong",1
"06014 ","Duta Town Hall","Duta",3,1038,"Bong",1
"06002 ","Sarworlor Public School","Sarworlor Town",2,633,"Bong",1
"06001 ","Baila Public School","Baila Town",3,1180,"Bong",1
"06135 ","Yolota Palava Hut","Yolota(a)",3,1130,"Bong",1
"06148 ","Malonkai Palava Hut","Malonkai",1,382,"Bong",1
"06142 ","Old Gbarta Palava Hut","Old Gbarta",3,1149,"Bong",1
"06147 ","Zeo Palava Hut","Zeo",1,395,"Bong",1
"27034 ","Witchoken Elem. School","Witchoken Mission",1,379,"Maryland",2
"27031 ","Libsuco Community School","Libsuco Factory",1,219,"Maryland",2
"27002 ","Gborlobo Elem. School","Gborlobo",2,959,"Maryland",2
"27030 ","Sadeken Town Hall","Sadeken",1,469,"Maryland",2
"27027 ","Bassa Community Elem. School","Plebo",2,973,"Maryland",2
"27026 ","Geebio Palava Hut","Gebio Big",3,1398,"Maryland",2
"27025 ","Pleebo Grand Public School","Plebo",5,2497,"Maryland",2
"27024 ","Pleebo High School","Plebo",7,3098,"Maryland",2
"27023 ","Pleebo City Hall","Plebo",7,2998,"Maryland",2
"27020 ","Old Sodoken Town Hall","Old Sodoken",2,548,"Maryland",2
"27007 ","Gbaewen Elem. School","Gbaewen Big Town",1,124,"Maryland",2
"27014 ","Division 5 Camp 5 Palava Hut","Division 5 Camp 5",3,1098,"Maryland",2
"27013 ","Crc High School","Gedetarbo",2,805,"Maryland",2
"27012 ","Crc Kindergarten","Evansville -1",2,807,"Maryland",2
"27010 ","Gbololu Town Hall","Gbololu",1,347,"Maryland",2
"27009 ","Gbloken Mission Elem. School","Gbloken Mission Town",1,359,"Maryland",2
"27008 ","Gbeken Town Hall","Gbeken Main Town",1,155,"Maryland",2
"27015 ","Golobo Elem. School","Golobo",1,245,"Maryland",2
"27063 ","Seator Town Hall","Seator",1,55,"Maryland",3
"27062 ","Yederobo Elem. School","Yederobo",2,985,"Maryland",3
"27061 ","Pougbaken Elem. School","Pougbaken",1,126,"Maryland",3
"27060 ","Sampson Goe Elem. School","Gbawiliken Cavalla",1,204,"Maryland",3
"27059 ","Martuken Town Hall","Martuken",1,149,"Maryland",3
"27064 ","Sawtorken Town Hall","Sawtorken Ii",1,122,"Maryland",3
"27057 ","Kliliken Town Hall","Kliliken",1,461,"Maryland",3
"27069 ","Henogbe Elem. School","Henogbe",1,316,"Maryland",3
"27058 ","Yobloken Town Hall","Yobloken Town",2,936,"Maryland",3
"27065 ","Barrobo Central High","Glofaken",1,355,"Maryland",3
"27066 ","Gwissiken Town Hall","Gwissiken",1,470,"Maryland",3
"27011 ","Nemeken Town Hall","Nemeken",2,557,"Maryland",3
"27068 ","Tugbaken Elem. & Jr. High School","Tugbaken",2,667,"Maryland",3
"27070 ","James T. Hinneh Elem. School","Big Jay",1,255,"Maryland",3
"27072 ","Wlowien Town Hall","Wlowien",1,469,"Maryland",3
"27056 ","Joe Clark Elem. School","Juluken # 1",1,395,"Maryland",3
