"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,6,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,17,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,4
"WEAH, George Manneh (CDC) ",,,,205,"WEAH, George Manneh (CDC) ",,,,223,"WEAH, George Manneh (CDC) ",,,,155
,"Valid Votes: ",,,211,,"Valid Votes: ",,,240,,"Valid Votes: ",,,159
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,2
,"Total Votes: ",,,214,,"Total Votes: ",,,242,,"Total Votes: ",,,161
"Precinct: 18015 ","Polling Place: ",1,,,"Precinct: 18016 ","Polling Place: ",1,,,"Precinct: 18016 ","Polling Place: ",2,,
"Dw eken Elementary School, Dw eken ",,,,,"Parluken Public School, Parluken ",,,,,"Parluken Public School, Parluken",,,,
"Registered Voters: ",390,,,,"Registered Voters: ",380,,,,"Registered Voters: ",419,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,23,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,5,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,12
"WEAH, George Manneh (CDC) ",,,,180,"WEAH, George Manneh (CDC) ",,,,233,"WEAH, George Manneh (CDC) ",,,,219
,"Valid Votes: ",,,203,,"Valid Votes: ",,,238,,"Valid Votes: ",,,231
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,0
,"Total Votes: ",,,213,,"Total Votes: ",,,240,,"Total Votes: ",,,231
"Precinct: 18017 ","Polling Place: ",1,,,"Precinct: 18017 ","Polling Place: ",2,,,"Precinct: 18018 ","Polling Place: ",1,,
"Behw an Jr. High School, Behw an City ",,,,,"Behw an Jr. High School, Behw an City ",,,,,"New arken Jr. High School, New arken",,,,
"Registered Voters: ",334,,,,"Registered Voters: ",312,,,,"Registered Voters: ",444,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,119,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,148,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,86
"WEAH, George Manneh (CDC) ",,,,40,"WEAH, George Manneh (CDC) ",,,,43,"WEAH, George Manneh (CDC) ",,,,43
,"Valid Votes: ",,,159,,"Valid Votes: ",,,191,,"Valid Votes: ",,,129
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,0
,"Total Votes: ",,,161,,"Total Votes: ",,,199,,"Total Votes: ",,,129
"Precinct: 18018 ","Polling Place: ",2,,,"Precinct: 18018 ","Polling Place: ",3,,,"Precinct: 18019 ","Polling Place: ",1,,
"New arken Jr. High School, New arken ",,,,,"New arken Jr. High School, New arken ",,,,,"Garraw ay Beach Jr. High School, Garraw ay Beach",,,,
"Registered Voters: ",466,,,,"Registered Voters: ",465,,,,"Registered Voters: ",542,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,68,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,58,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,124
"WEAH, George Manneh (CDC) ",,,,71,"WEAH, George Manneh (CDC) ",,,,58,"WEAH, George Manneh (CDC) ",,,,70
,"Valid Votes: ",,,139,,"Valid Votes: ",,,116,,"Valid Votes: ",,,194
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,11
,"Total Votes: ",,,139,,"Total Votes: ",,,116,,"Total Votes: ",,,205
"Precinct: 18019 ","Polling Place: ",2,,,"Precinct: 18019 ","Polling Place: ",3,,,"Precinct: 18020 ","Polling Place: ",1,,
"Garraw ay Beach Jr. High School, Garraw ay Beach ",,,,,"Garraw ay Beach Jr. High School, Garraw ay Beach ",,,,,"Genoyah Elementary School, Genoyah",,,,
"Registered Voters: ",551,,,,"Registered Voters: ",543,,,,"Registered Voters: ",507,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,131,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,138,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,83
"WEAH, George Manneh (CDC) ",,,,86,"WEAH, George Manneh (CDC) ",,,,62,"WEAH, George Manneh (CDC) ",,,,108
,"Valid Votes: ",,,217,,"Valid Votes: ",,,200,,"Valid Votes: ",,,191
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,13,,"Invalid Votes: ",,,1
