"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,183,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,195,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,180
"WEAH, George Manneh (CDC) ",,,,67,"WEAH, George Manneh (CDC) ",,,,75,"WEAH, George Manneh (CDC) ",,,,77
,"Valid Votes: ",,,250,,"Valid Votes: ",,,270,,"Valid Votes: ",,,257
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,6
,"Total Votes: ",,,256,,"Total Votes: ",,,276,,"Total Votes: ",,,263
"Precinct: 33006 ","Polling Place: ",5,,,"Precinct: 33007 ","Polling Place: ",1,,,"Precinct: 33007 ","Polling Place: ",2,,
"Johnny Voker School, Saclepea ",,,,,"Mehnpa Palava Hut, Mehnpa ",,,,,"Mehnpa Palava Hut, Mehnpa",,,,
"Registered Voters: ",529,,,,"Registered Voters: ",346,,,,"Registered Voters: ",379,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,177,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,176,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,138
"WEAH, George Manneh (CDC) ",,,,75,"WEAH, George Manneh (CDC) ",,,,44,"WEAH, George Manneh (CDC) ",,,,53
,"Valid Votes: ",,,252,,"Valid Votes: ",,,220,,"Valid Votes: ",,,191
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,6
,"Total Votes: ",,,262,,"Total Votes: ",,,227,,"Total Votes: ",,,197
"Precinct: 33008 ","Polling Place: ",1,,,"Precinct: 33008 ","Polling Place: ",2,,,"Precinct: 33008 ","Polling Place: ",3,,
"Kpaytuo Public School, Kpaytuo ",,,,,"Kpaytuo Public School, Kpaytuo ",,,,,"Kpaytuo Public School, Kpaytuo",,,,
"Registered Voters: ",578,,,,"Registered Voters: ",605,,,,"Registered Voters: ",575,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,303,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,192,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,246
"WEAH, George Manneh (CDC) ",,,,91,"WEAH, George Manneh (CDC) ",,,,88,"WEAH, George Manneh (CDC) ",,,,185
,"Valid Votes: ",,,394,,"Valid Votes: ",,,280,,"Valid Votes: ",,,431
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,0
,"Total Votes: ",,,396,,"Total Votes: ",,,292,,"Total Votes: ",,,431
"Precinct: 33009 ","Polling Place: ",1,,,"Precinct: 33010 ","Polling Place: ",1,,,"Precinct: 33010 ","Polling Place: ",2,,
"Kpow in Public School, Kpow in ",,,,,"Gbanquoi Public School, Nyasein New  Tow n ",,,,,"Gbanquoi Public School, Nyasein New  Tow n",,,,
"Registered Voters: ",410,,,,"Registered Voters: ",465,,,,"Registered Voters: ",473,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,214,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,113,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,120
"WEAH, George Manneh (CDC) ",,,,33,"WEAH, George Manneh (CDC) ",,,,39,"WEAH, George Manneh (CDC) ",,,,55
,"Valid Votes: ",,,247,,"Valid Votes: ",,,152,,"Valid Votes: ",,,175
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,6
,"Total Votes: ",,,252,,"Total Votes: ",,,162,,"Total Votes: ",,,181
"Precinct: 33010 ","Polling Place: ",3,,,"Precinct: 33010 ","Polling Place: ",4,,,"Precinct: 33011 ","Polling Place: ",1,,
"Gbanquoi Public School, Nyasein New  Tow n ",,,,,"Gbanquoi Public School, Nyasein New  Tow n ",,,,,"Bahnla Palava Hut, Bahnla",,,,
"Registered Voters: ",465,,,,"Registered Voters: ",447,,,,"Registered Voters: ",412,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,144,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,111,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,80
"WEAH, George Manneh (CDC) ",,,,46,"WEAH, George Manneh (CDC) ",,,,42,"WEAH, George Manneh (CDC) ",,,,78
,"Valid Votes: ",,,190,,"Valid Votes: ",,,153,,"Valid Votes: ",,,158
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,14
,"Total Votes: ",,,196,,"Total Votes: ",,,160,,"Total Votes: ",,,172
"Precinct: 33011 ","Polling Place: ",2,,,"Precinct: 33012 ","Polling Place: ",1,,,"Precinct: 33012 ","Polling Place: ",2,,
"Bahnla Palava Hut, Bahnla ",,,,,"Zahnboie Palava Hut, Zahnboie ",,,,,"Zahnboie Palava Hut, Zahnboie",,,,
"Registered Voters: ",411,,,,"Registered Voters: ",311,,,,"Registered Voters: ",315,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,184,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,107,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,114
"WEAH, George Manneh (CDC) ",,,,74,"WEAH, George Manneh (CDC) ",,,,37,"WEAH, George Manneh (CDC) ",,,,18
,"Valid Votes: ",,,258,,"Valid Votes: ",,,144,,"Valid Votes: ",,,132
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,1
,"Total Votes: ",,,267,,"Total Votes: ",,,148,,"Total Votes: ",,,133
"Precinct: 33013 ","Polling Place: ",1,,,"Precinct: 33013 ","Polling Place: ",2,,,"Precinct: 33014 ","Polling Place: ",1,,
"Duo Palava Hut, Duo ",,,,,"Duo Palava Hut, Duo ",,,,,"Bainakplela Palava Hut, Bainakplela",,,,
"Registered Voters: ",568,,,,"Registered Voters: ",570,,,,"Registered Voters: ",436,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,40,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,59,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,108
"WEAH, George Manneh (CDC) ",,,,164,"WEAH, George Manneh (CDC) ",,,,154,"WEAH, George Manneh (CDC) ",,,,40
,"Valid Votes: ",,,204,,"Valid Votes: ",,,213,,"Valid Votes: ",,,148
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,4
,"Total Votes: ",,,209,,"Total Votes: ",,,213,,"Total Votes: ",,,152
"Precinct: 33014 ","Polling Place: ",2,,,"Precinct: 33015 ","Polling Place: ",1,,,"Precinct: 33015 ","Polling Place: ",2,,
"Bainakplela Palava Hut, Bainakplela ",,,,,"Zao Palava Hut, Zao ",,,,,"Zao Palava Hut, Zao",,,,
"Registered Voters: ",426,,,,"Registered Voters: ",485,,,,"Registered Voters: ",505,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,98,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,57,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,33
"WEAH, George Manneh (CDC) ",,,,53,"WEAH, George Manneh (CDC) ",,,,135,"WEAH, George Manneh (CDC) ",,,,216
,"Valid Votes: ",,,151,,"Valid Votes: ",,,192,,"Valid Votes: ",,,249
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,6
,"Total Votes: ",,,153,,"Total Votes: ",,,192,,"Total Votes: ",,,255
"Precinct: 33016 ","Polling Place: ",1,,,"Precinct: 33016 ","Polling Place: ",2,,,"Precinct: 33016 ","Polling Place: ",3,,
"Bunadin Public School, Bunadin ",,,,,"Bunadin Public School, Bunadin ",,,,,"Bunadin Public School, Bunadin",,,,
"Registered Voters: ",492,,,,"Registered Voters: ",501,,,,"Registered Voters: ",485,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,157,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,156,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,158
"WEAH, George Manneh (CDC) ",,,,38,"WEAH, George Manneh (CDC) ",,,,24,"WEAH, George Manneh (CDC) ",,,,33
,"Valid Votes: ",,,195,,"Valid Votes: ",,,180,,"Valid Votes: ",,,191
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,3
,"Total Votes: ",,,202,,"Total Votes: ",,,189,,"Total Votes: ",,,194
