"BARNES, Milton Nathaniel (LDP) ","","","",0 ,"BARTUAH, Benedict Zuah (UDA) ","",0 ,"FLINDOR, Jackson Saye (CDC) ","","","","","",11
"BRUMSKINE, Charles Walker (LP) ","","","",42 ,"DOGOLEA, Mary Siaway (RULP) ","",0 ,"JABATEH, Madenyen Nouh (UP) ","","","","","",1
"CONNEH, Sekou Damate (PRODEM) ","","","",1 ,"DOKIE, Josephus Saye (LP) ","",3 ,"JACOBS, David Logbae (NDPL) ","","","","","",297
"DIVINE, SR., Samuel Raymond (Ind) ","","","",1 ,"DOLO, Saye-Taayor Adolphus (COTOL) ","",126 ,"JOHNSON, David Madean (COTOL) ","","","","","",6
"FARHAT, David M. (FDP) ","","","",0 ,"JOHNSON, Prince Yormie (Ind) ","",34 ,"MEHNPAINE, S. Reginald Zunleh (NPP) ","","","","","",23
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"KOAH, Evans Vaye (Ind) ","",120 ,"YOUNQUOI, Larry Payetozay (LP) ","","","","","",1
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",16 ,"KROMAH, Ansumana Fassu (UDA) ","",2 ,"",Valid Votes: ,"","","","",339
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"KRUAH, SR., Cooper W. (APD) ","",54 ,"",Invalid Votes: ,"","","","",0
"KIEH, JR., George Klay (NDM) ","","","",0 ,"LUO, Harrison Dologbean (NPP) ","",306 ,"",Total Votes: ,"","","","",339
"KORTO, Joseph D. Z. (LERP) ","","","",18 ,"MANTEIN, Nyah  (UP) ","",5,"","","","","","",""
"KPOTO, Robert Momo (ULD) ","","","",0 ,"MYERS, Prince B. (NPP) ","",8,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"NOAH, Mac Sonkarley (LP) ","",3,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",30 ,"SENNEH, Peter S. T. (NDPL) ","",0,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",1 ,"WUOR, Emma Kou (COTOL) ","",0,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",0 ,"YUAN, SR., Harry Targehn (UP) ","",0,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",23 ,"",Valid Votes: ,661,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",152 ,"",Invalid Ballots: ,1,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",0 ,"",Valid Votes + Invalid Ballots: ,662,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",1,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",52,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",1,"","","","","","","","","",""
"",Valid Votes: ,"","",338,"","","","","","","","","",""
"",Invalid Votes: ,"","",1,"","","","","","","","","",""
"",Total Votes: ,"","",339,"","","","","","","","","",""
Precinct: 33002 ,Polling Place: ,2 ,"","","","","",Total: 437 ,Age 18-27: 36.6% ,Age 48-57: ,"","",8.0%,""
"Garw anpa Palava Hut, Garw anpa, Nimba ","","","","","","","",Males: 44.4% Females: 55.6% ,Age 28-37: 24.9% Age 38-47: 17.2% ,Age 58-67: Age 68+: ,"","",5.7%7.6%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Nimba ,"","","Nimba, Electoral District 5","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",2 ,"BARTUAH, Benedict Zuah (UDA) ","",1 ,"FLINDOR, Jackson Saye (CDC) ","","","","","",19
"BRUMSKINE, Charles Walker (LP) ","","","",33 ,"DOGOLEA, Mary Siaway (RULP) ","",1 ,"JABATEH, Madenyen Nouh (UP) ","","","","","",0
"CONNEH, Sekou Damate (PRODEM) ","","","",3 ,"DOKIE, Josephus Saye (LP) ","",4 ,"JACOBS, David Logbae (NDPL) ","","","","","",228
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DOLO, Saye-Taayor Adolphus (COTOL) ","",88 ,"JOHNSON, David Madean (COTOL) ","","","","","",22
"FARHAT, David M. (FDP) ","","","",1 ,"JOHNSON, Prince Yormie (Ind) ","",41 ,"MEHNPAINE, S. Reginald Zunleh (NPP) ","","","","","",31
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"KOAH, Evans Vaye (Ind) ","",48 ,"YOUNQUOI, Larry Payetozay (LP) ","","","","","",6
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",19 ,"KROMAH, Ansumana Fassu (UDA) ","",5 ,"",Valid Votes: ,"","","","",306
"KIADII, George Momodu (NATVIPOL) ","","","",2 ,"KRUAH, SR., Cooper W. (APD) ","",31 ,"",Invalid Votes: ,"","","","",21
"KIEH, JR., George Klay (NDM) ","","","",4 ,"LUO, Harrison Dologbean (NPP) ","",235 ,"",Total Votes: ,"","","","",327
"KORTO, Joseph D. Z. (LERP) ","","","",1 ,"MANTEIN, Nyah  (UP) ","",7,"","","","","","",""
"KPOTO, Robert Momo (ULD) ","","","",0 ,"MYERS, Prince B. (NPP) ","",15,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"NOAH, Mac Sonkarley (LP) ","",3,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",52 ,"SENNEH, Peter S. T. (NDPL) ","",3,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WUOR, Emma Kou (COTOL) ","",0,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",1 ,"YUAN, SR., Harry Targehn (UP) ","",1,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",24 ,"",Valid Votes: ,483,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",116 ,"",Invalid Ballots: ,13,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",2 ,"",Valid Votes + Invalid Ballots: ,496,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",1,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",3,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",39,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",0,"","","","","","","","","",""
"",Valid Votes: ,"","",303,"","","","","","","","","",""
"",Invalid Votes: ,"","",25,"","","","","","","","","",""
"",Total Votes: ,"","",328,"","","","","","","","","",""
Precinct: 33003 ,Polling Place: ,1 ,"","","","","",Total: 379 ,Age 18-27: 33.2% ,Age 48-57: ,"","",11.3%,""
"Guahnw ein Palava Hut, Guahnw ein, Nimba ","","","","","","","",Males: 43.8% Females: 56.2% ,Age 28-37: 24.0% Age 38-47: 12.9% ,Age 58-67: Age 68+: ,"","",4.5%14.0%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Nimba ,"","","Nimba, Electoral District 5","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",5 ,"BARTUAH, Benedict Zuah (UDA) ","",0 ,"FLINDOR, Jackson Saye (CDC) ","","","","","",30
"BRUMSKINE, Charles Walker (LP) ","","","",59 ,"DOGOLEA, Mary Siaway (RULP) ","",0 ,"JABATEH, Madenyen Nouh (UP) ","","","","","",1
"CONNEH, Sekou Damate (PRODEM) ","","","",1 ,"DOKIE, Josephus Saye (LP) ","",1 ,"JACOBS, David Logbae (NDPL) ","","","","","",213
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DOLO, Saye-Taayor Adolphus (COTOL) ","",11 ,"JOHNSON, David Madean (COTOL) ","","","","","",26
"FARHAT, David M. (FDP) ","","","",0 ,"JOHNSON, Prince Yormie (Ind) ","",5 ,"MEHNPAINE, S. Reginald Zunleh (NPP) ","","","","","",36
"JALLAH, Armah Zolu (NPL) ","","","",1 ,"KOAH, Evans Vaye (Ind) ","",44 ,"YOUNQUOI, Larry Payetozay (LP) ","","","","","",9
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",2 ,"KROMAH, Ansumana Fassu (UDA) ","",11 ,"",Valid Votes: ,"","","","",315
"KIADII, George Momodu (NATVIPOL) ","","","",1 ,"KRUAH, SR., Cooper W. (APD) ","",9 ,"",Invalid Votes: ,"","","","",4
"KIEH, JR., George Klay (NDM) ","","","",1 ,"LUO, Harrison Dologbean (NPP) ","",212 ,"",Total Votes: ,"","","","",319
"KORTO, Joseph D. Z. (LERP) ","","","",1 ,"MANTEIN, Nyah  (UP) ","",43,"","","","","","",""
"KPOTO, Robert Momo (ULD) ","","","",0 ,"MYERS, Prince B. (NPP) ","",2,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"NOAH, Mac Sonkarley (LP) ","",0,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",17 ,"SENNEH, Peter S. T. (NDPL) ","",0,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WUOR, Emma Kou (COTOL) ","",0,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",0 ,"YUAN, SR., Harry Targehn (UP) ","",0,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",12 ,"",Valid Votes: ,338,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",184 ,"",Invalid Ballots: ,5,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",1 ,"",Valid Votes + Invalid Ballots: ,343,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",1,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",4,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",24,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",0,"","","","","","","","","",""
"",Valid Votes: ,"","",314,"","","","","","","","","",""
"",Invalid Votes: ,"","",5,"","","","","","","","","",""
"",Total Votes: ,"","",319,"","","","","","","","","",""
Precinct: 33004 ,Polling Place: ,1 ,"","","","","",Total: 490 ,Age 18-27: 37.1% ,Age 48-57: ,"","",8.0%,""
"Civil Compound, Saclepea, Nimba ","","","","","","","",Males: 46.9% Females: 53.1% ,Age 28-37: 25.3% Age 38-47: 19.0% ,Age 58-67: Age 68+: ,"","",4.3%6.3%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Nimba ,"","","Nimba, Electoral District 6","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",1 ,"BARTUAH, Benedict Zuah (UDA) ","",1 ,"KEHN, Presley Mehn (CDC) ","","","","","",135
"BRUMSKINE, Charles Walker (LP) ","","","",67 ,"DOGOLEA, Mary Siaway (RULP) ","",1 ,"KOLLAH, Wehyi Stephen (APD) ","","","","","",5
