"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,0,"SEAKOR, Daniel Success (FAPL) ",,3,,"Valid Votes: ",,,,,177
"MORLU, John Sembe (UDA) ",,,,0,"TARPEH, Wilson Kargeor (APD) ",,10,,"Invalid Votes: ",,,,,28
"REEVES, Alfred Garpee (NRP) ",,,,2,"TAYLOR, Bob D. (NPP) ",,4,,"Total Votes: ",,,,,205
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,23,"TRAVERS, Rudolph  (COTOL) ",,13,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,"UREY, Clemenceau Blayon (UP) ",,50,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,1,"WOHEEL, SR., Roland Kollie (UP) ",,31,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,3,,"Valid Votes: ",352,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,13,,"Invalid Ballots: ",10,,,,,,,
"WEAH, George Manneh (CDC) ",,,,28,,"Valid Votes + Invalid Ballots: ",362,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,182,,,,,,,,,,
,"Invalid Votes: ",,,23,,,,,,,,,,
,"Total Votes: ",,,205,,,,,,,,,,
"Precinct: 30003 ","Polling Place: ",1,,,,,"Total: 144 ","Age 18-27: 34.7% ","Age 48-57: ",,"13.9%",,,
"C/burg Ele /Jr High School, CHEESEMUNBURG, Montserrado ",,,,,,,"Males: 53.5% Females: 46.5% ","Age 28-37: 25.0% Age 38-47: 16.0% ","Age 58-67: Age 68+: ",,"6.9%3.5%",,,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Montserrado ",,"Montserrado, Electoral District 13",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,7,"BILITY, Losene F. (Ind) ",,1,"BAI, Etmonia Musu (LP) ",,,,,,6,
"BRUMSKINE, Charles Walker (LP) ",,,4,"BRENT, Hannah G. (CDC) ",,10,"BAYSAH, Karziel Coruboi (NRP) ",,,,,,1,
"CONNEH, Sekou Damate (PRODEM) ",,,0,"CAESAR, Ruth Gibson (Ind) ",,8,"CASSELL, SR., Shadrick B. (UP) ",,,,,,21,
"DIVINE, SR., Samuel Raymond (Ind) ",,,0,"FRANCIS, Josephine M. George (Ind) ",,71,"COOPER, I, Stephen Faithful (Ind) ",,,,,,7,
"FARHAT, David M. (FDP) ",,,1,"FREEMAN, Joyce Musu (CDC) ",,12,"DOLEA, John G. (NDPL) ",,,,,,1,
"JALLAH, Armah Zolu (NPL) ",,,0,"JACKITAY, Chemon Feson (ALCOP) ",,2,"LAMIN, Edward Musa (COTOL) ",,,,,,13,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,41,"JALLAH, Ola Walker (LP) ",,3,"LYNCH, Victoria  (CDC) ",,,,,,4,
"KIADII, George Momodu (NATVIPOL) ",,,0,"KAMARA, Kadie Sannor (LP) ",,14,"NYEI, Sekou I. (ALCOP) ",,,,,,0,
"KIEH, JR., George Klay (NDM) ",,,0,"KROMAH, Amara M. (PRODEM) ",,1,"PARKER, SR., Julius Sylvester (NPP) ",,,,,,8,
"KORTO, Joseph D. Z. (LERP) ",,,0,"KUMEH, Charles Max (NDPL) ",,0,"PUNNI, Lucinda A. Eastman (Ind) ",,,,,,36,
"KPOTO, Robert Momo (ULD) ",,,0,"PAYNE, SR., Jessie S. (NPP) ",,7,"TAH, Christopher Moham (APD) ",,,,,,3,
"KROMAH, Alhaji G. V. (ALCOP) ",,,0,"RICHARDSON, Nathaniel Reginald (COTOL) ",,18,"WADE, Wilfred Alvin (FAPL) ",,,,,,0,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,7,"SEAKOR, Daniel Success (FAPL) ",,0,,"Valid Votes: ",,,,,100,
"MORLU, John Sembe (UDA) ",,,0,"TARPEH, Wilson Kargeor (APD) ",,7,,"Invalid Votes: ",,,,,4,
"REEVES, Alfred Garpee (NRP) ",,,0,"TAYLOR, Bob D. (NPP) ",,9,,"Total Votes: ",,,,,104,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,4,"TRAVERS, Rudolph  (COTOL) ",,6,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,0,"UREY, Clemenceau Blayon (UP) ",,11,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,1,"WOHEEL, SR., Roland Kollie (UP) ",,3,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,1,,"Valid Votes: ",183,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,5,,"Invalid Ballots: ",2,,,,,,,,
