"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,12,,"Invalid Ballots: ",5,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,0,,"Valid Votes + Invalid Ballots: ",621,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,13,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,1,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,0,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,15,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,350,,,,,,,,,,,
,"Invalid Votes: ",,6,,,,,,,,,,,
,"Total Votes: ",,356,,,,,,,,,,,
"Precinct: 09001 ","Polling Place: ",3,,,,,"Total: 547 ","Age 18-27: 30.2% ","Age 48-57: ",,"14.4%",,,
"adminstrative building, OWENSGROVE, Grand Bassa ",,,,,,,"Males: 48.1% Females: 51.9% ","Age 28-37: 21.9% Age 38-47: 17.0% ","Age 58-67: Age 68+: ",,"8.8%7.7%",,,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Grand Bassa ",,"Grand Bassa, Electoral District 1",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,3,"DAVIS, William Bill Patrick (UP) ",,7,"GRAY, SR., Solomon Saynbarn (FAPL) ",,,,,,16,
"BRUMSKINE, Charles Walker (LP) ",,,270,"FINDLEY, Gbehzohngar Milton (Ind) ",,150,"GREENE, Al William (CDC) ",,,,,,6,
"CONNEH, Sekou Damate (PRODEM) ",,,1,"INNIS, SR., Nathaniel K. (LP) ",,171,"HILL, Trokon  (Ind) ",,,,,,179,
"DIVINE, SR., Samuel Raymond (Ind) ",,,1,"JOHNSON, Charles Jefferson (Ind) ",,34,"PAGE, SR., Samuel Dornaworlo (LP) ",,,,,,86,
"FARHAT, David M. (FDP) ",,,0,"LATHROBE, Joseph O. (NDPL) ",,8,"PASSAWE, Agathon Buelue (UP) ",,,,,,31,
"JALLAH, Armah Zolu (NPL) ",,,4,"MARSHALL, Julia Saturday (CDC) ",,11,"SMITH, Jackie Clipton (PRODEM) ",,,,,,15,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,29,"NATT, Ellen Janjay (NPP) ",,14,"SPILLER, Austine Wreemongar (COTOL) ",,,,,,10,
"KIADII, George Momodu (NATVIPOL) ",,,0,"ONUMAH, Nathan Alphonsus (FAPL) ",,13,"ZEHYOUE, Jerry Fineboy (NRP) ",,,,,,2,
"KIEH, JR., George Klay (NDM) ",,,0,"REEVES, Hilary Yhrakehmenn (LP) ",,50,,"Valid Votes: ",,,,,345,
"KORTO, Joseph D. Z. (LERP) ",,,0,"REEVES, Lee Pennalton (CDC) ",,10,,"Invalid Votes: ",,,,,14,
"KPOTO, Robert Momo (ULD) ",,,1,"ROBINSON, SR., Wesley Bonne (COTOL) ",,124,,"Total Votes: ",,,,,359,
"KROMAH, Alhaji G. V. (ALCOP) ",,,0,"VAH, Andrew Dehkpo (COTOL) ",,36,,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,2,"WHITFIELD, JR., John F. (Ind) ",,29,,,,,,,,
"MORLU, John Sembe (UDA) ",,,0,"WOLO, Matthew Alan (FAPL) ",,3,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,0,,"Valid Votes: ",660,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,10,,"Invalid Ballots: ",9,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,2,,"Valid Votes + Invalid Ballots: ",669,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,12,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,0,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,3,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,8,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,346,,,,,,,,,,,
,"Invalid Votes: ",,17,,,,,,,,,,,
,"Total Votes: ",,363,,,,,,,,,,,
"Precinct: 09002 ","Polling Place: ",1,,,,,,"Total: 385 ","Age 18-27: 39.7% ","Age 48-57: ",,"9.4%",,
"palava hut, NEEGEEWEIN, Grand Bassa ",,,,,,,,"Males: 53.2% Females: 46.8% ","Age 28-37: 21.6% Age 38-47: 15.1% ","Age 58-67: Age 68+: ",,"9.9%4.4%",,
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Grand Bassa ",,"Grand Bassa, Electoral District 1",,,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,5,"DAVIS, William Bill Patrick (UP) ",,21,"GRAY, SR., Solomon Saynbarn (FAPL) ",,,,,,11
"BRUMSKINE, Charles Walker (LP) ",,,,169,"FINDLEY, Gbehzohngar Milton (Ind) ",,90,"GREENE, Al William (CDC) ",,,,,,17
