"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes: ",280,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,3,,"Invalid Ballots: ",11,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,1,,"Valid Votes + Invalid Ballots: ",291,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,88,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,1,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,8,,,,,,,,,,
,"Valid Votes: ",,,154,,,,,,,,,,
,"Invalid Votes: ",,,14,,,,,,,,,,
,"Total Votes: ",,,168,,,,,,,,,,
"Precinct: 06003 ","Polling Place: ",1,,,,,,"Total: 485 ","Age 18-27: 33.8% ","Age 48-57: ",,,"8.9%",
"Yaidew uan Palava Hut, Yaindew uan, Bong ",,,,,,,,"Males: 46.2% Females: 53.8% ","Age 28-37: 28.2% Age 38-47: 15.1% ","Age 58-67: Age 68+: ",,,"7.2%6.8%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Bong ",,,"Bong, Electoral District 3",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,6,"CORNORMIA, SR., Joseph N. (COTOL) ",,8,"BONDO, G. Samuel K.S. (LP) ",,,,,,116
"BRUMSKINE, Charles Walker (LP) ",,,,3,"DAVIES, Olive Quita (CDC) ",,13,"CLINTON, Joseph Orendor (UP) ",,,,,,50
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"DOLO, Othello F. (PRODEM) ",,6,"COOPER, Viola Nyamah (COTOL) ",,,,,,151
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"HOWARD-TAYLOR, Jewel Ceaineh (NPP) ",,313,"DENNIS, Oretha Tinapu (LPL) ",,,,,,23
"FARHAT, David M. (FDP) ",,,,1,"JACKSON, Ranney Banama (COTOL) ",,25,"RENNIE, Charles S. (UDA) ",,,,,,26
"JALLAH, Armah Zolu (NPL) ",,,,0,"KAMARA, Mustapha A. (UP) ",,12,"TUCKER, Larwuson M. (CDC) ",,,,,,5
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,28,"KERKULA, SR., Martin Fahnlon (LP) ",,36,,"Valid Votes: ",,,,,371
"KIADII, George Momodu (NATVIPOL) ",,,,0,"KERMUE, Melee I. L. (NPP) ",,40,,"Invalid Votes: ",,,,,12
"KIEH, JR., George Klay (NDM) ",,,,0,"LAKE, Delores Zoe (UP) ",,11,,"Total Votes: ",,,,,383
"KORTO, Joseph D. Z. (LERP) ",,,,1,"RICHARDS, Paul Mhulbah (LP) ",,11,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,0,"SAMUELS, Fata S. (NDPL) ",,7,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"SEESEE, Lasana Abraham (Ind) ",,4,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,10,"SIAKOR, Franklin Obed (Ind) ",,209,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"SIRLEAF, Lassana M. (PRODEM) ",,8,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,0,"TOKPAH, Molley O. K. (CDC) ",,7,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,7,"WOKPEH, Lysander B. (FAPL) ",,1,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes: ",711,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,4,,"Invalid Ballots: ",5,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,8,,"Valid Votes + Invalid Ballots: ",716,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,285,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,9,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,5,,,,,,,,,,
,"Valid Votes: ",,,367,,,,,,,,,,
,"Invalid Votes: ",,,8,,,,,,,,,,
,"Total Votes: ",,,375,,,,,,,,,,
"Precinct: 06003 ","Polling Place: ",2,,,,,,"Total: 511 ","Age 18-27: 34.8% ","Age 48-57: ",,,"7.2%",
"Yaidew uan Palava Hut, Yaindew uan, Bong ",,,,,,,,"Males: 47.2% Females: 52.8% ","Age 28-37: 31.1% Age 38-47: 14.1% ","Age 58-67: Age 68+: ",,,"6.8%5.9%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Bong ",,,"Bong, Electoral District 3",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,0,"CORNORMIA, SR., Joseph N. (COTOL) ",,1,"BONDO, G. Samuel K.S. (LP) ",,,,,,62
"BRUMSKINE, Charles Walker (LP) ",,,,2,"DAVIES, Olive Quita (CDC) ",,1,"CLINTON, Joseph Orendor (UP) ",,,,,,226
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"DOLO, Othello F. (PRODEM) ",,3,"COOPER, Viola Nyamah (COTOL) ",,,,,,62
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"HOWARD-TAYLOR, Jewel Ceaineh (NPP) ",,373,"DENNIS, Oretha Tinapu (LPL) ",,,,,,5
"FARHAT, David M. (FDP) ",,,,0,"JACKSON, Ranney Banama (COTOL) ",,4,"RENNIE, Charles S. (UDA) ",,,,,,10
"JALLAH, Armah Zolu (NPL) ",,,,1,"KAMARA, Mustapha A. (UP) ",,4,"TUCKER, Larwuson M. (CDC) ",,,,,,5
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,7,"KERKULA, SR., Martin Fahnlon (LP) ",,2,,"Valid Votes: ",,,,,370
"KIADII, George Momodu (NATVIPOL) ",,,,0,"KERMUE, Melee I. L. (NPP) ",,13,,"Invalid Votes: ",,,,,10
"KIEH, JR., George Klay (NDM) ",,,,0,"LAKE, Delores Zoe (UP) ",,1,,"Total Votes: ",,,,,380
"KORTO, Joseph D. Z. (LERP) ",,,,0,"RICHARDS, Paul Mhulbah (LP) ",,2,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,0,"SAMUELS, Fata S. (NDPL) ",,2,,,,,,,
