"KORTO, Joseph D. Z. (LERP) ",,,"1 PAASEWE, Varney  (COTOL) ","PAASEWE, Varney  (COTOL) ",,65,"Valid Votes: ",,,,,,354,
"KPOTO, Robert Momo (ULD) ",,,"1 SHERMAN, Rudolph Emmett (COTOL) ","SHERMAN, Rudolph Emmett (COTOL) ",,53,"Invalid Votes: ",,,,,,23,
"KROMAH, Alhaji G. V. (ALCOP) ",,,0,"Valid Votes: ",,514,"Total Votes: ",,,,,,377,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,14,"Invalid Ballots: ",,4,,,,,,,,
"MORLU, John Sembe (UDA) ",,,1,"Valid Votes + Invalid Ballots: ",,518,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,3,,,,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,240,,,,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,0,,,,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,0,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,2,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,0,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,36,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,368,,,,,,,,,,,
,"Invalid Votes: ",,12,,,,,,,,,,,
,"Total Votes: ",,380,,,,,,,,,,,
"Precinct: 12001 ","Polling Place: ",3,,,,,"Total: 475 Age 18-27: 33.1% ","Age 48-57: ",,,"7.8%",,,
"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",,,,,,,"Males: 48.8% Age 28-37: 25.3% Females: 51.2% Age 38-47: 16.6% ","Age 58-67: Age 68+: ",,,"10.1%7.2%",,,
,,,,"Senate ",,,"House of Representatives",,,,,,,
"President and Vice-President ",,,,"Grand Cape Mount ",,,"Grand Cape Mount, Electoral District 3",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,"4 BONDOKAI, III, J. Siafa (NDPL) ","BONDOKAI, III, J. Siafa (NDPL) ",,11,"FAHNBULLEH, Ennish Lamie (UP) ",,,,,,9,
"BRUMSKINE, Charles Walker (LP) ",,,"23 DAVID, Mambu George (UP) ","DAVID, Mambu George (UP) ",,12,"KIAHON, Clarence C. (LDP) ",,,,,,4,
"CONNEH, Sekou Damate (PRODEM) ",,,"0 FAHNBULLEH, Ma-John T. (LP) ","FAHNBULLEH, Ma-John T. (LP) ",,20,"KIAZOLU, Mohammed Abdurahman (NPP) ",,,,,,21,
"DIVINE, SR., Samuel Raymond (Ind) ",,,"0 FREEMAN, Arthur Bamoley (LDP) ","FREEMAN, Arthur Bamoley (LDP) ",,6,"MOHAMMED, J. Dinne (NRP) ",,,,,,5,
"FARHAT, David M. (FDP) ",,,"2 GBANA, Edison T. Vaanii (LP) ","GBANA, Edison T. Vaanii (LP) ",,18,"SMITH, Oliver Siafa (CDC) ",,,,,,3,
"JALLAH, Armah Zolu (NPL) ",,,"0 GRAY, M. Kdaiia (CDC) ","GRAY, M. Kdaiia (CDC) ",,9,"SONII, Baindu  (LP) ",,,,,,10,
