"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,13,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,80,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,39,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,213,,,,,,,,,,
,"Invalid Votes: ",,,0,,,,,,,,,,
,"Total Votes: ",,,213,,,,,,,,,,
"Precinct: 27003 ","Polling Place: ",1,,,,,"Total: 506 ","Age 18-27: 28.9% ","Age 48-57: ",,,"14.6%",,
"Joe Clark Elementary School, Juduken 1, Maryland ",,,,,,,"Males: 50.0% Females: 50.0% ","Age 28-37: 26.3% Age 38-47: 13.2% ","Age 58-67: Age 68+: ",,,"7.5%9.5%",,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Maryland ",,"Maryland, Electoral District 1",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,0,"BALLOUT, JR., John Akel (UP) ",,1,"DENNIS, Sophia Diode (LP) ",,,,,,0,
"BRUMSKINE, Charles Walker (LP) ",,,56,"BEDELL, Anthony S. Wloflo (NDPL) ",,1,"SAYDEE, David Gwiah (APD) ",,,,,,435,
"CONNEH, Sekou Damate (PRODEM) ",,,1,"BREWER, JR., Robert Alexandeer (NDPL) ",,2,"SMITH, Solomon Saide Nyemah (NPP) ",,,,,,0,
"DIVINE, SR., Samuel Raymond (Ind) ",,,0,"CLARK, Wilfred Ernest (COTOL) ",,2,"WAH, G. Glomah (UP) ",,,,,,2,
"FARHAT, David M. (FDP) ",,,0,"CLARK-WAH, Theodosia Minikon (APD) ",,1,"WALLACE, Adolphus G. (CDC) ",,,,,,11,
"JALLAH, Armah Zolu (NPL) ",,,0,"COX, SR., James Lamark (LP) ",,6,"WILSON, Ben J. (COTOL) ",,,,,,2,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,57,"FOLEE, Eric Deiojue Kitue (CDC) ",,152,,"Valid Votes: ",,,,,450,
"KIADII, George Momodu (NATVIPOL) ",,,0,"GOE, Mason Chumue (APD) ",,251,,"Invalid Votes: ",,,,,1,
"KIEH, JR., George Klay (NDM) ",,,0,"HUTCHINS, Alexander Mcknight (RULP) ",,2,,"Total Votes: ",,,,,451,
"KORTO, Joseph D. Z. (LERP) ",,,0,"JEFFY, Paul R. (LP) ",,434,,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,0,"MUSU-SCOTT, Gloria Maya (UP) ",,17,,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,1,"NEUFVILLE, E. Danny (CDC) ",,5,,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,0,"RAGLAND, Willie Dalleh (COTOL) ",,1,,,,,,,,
"MORLU, John Sembe (UDA) ",,,0,"TOOMEY, J. Kla (NPP) ",,0,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,0,,"Valid Votes: ",875,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,33,,"Invalid Ballots: ",0,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,15,,"Valid Votes + Invalid Ballots: ",875,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,0,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,23,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,67,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,198,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,451,,,,,,,,,,,
,"Invalid Votes: ",,3,,,,,,,,,,,
,"Total Votes: ",,454,,,,,,,,,,,
"Precinct: 27004 ","Polling Place: ",1,,,,,,"Total: 248 ","Age 18-27: 26.6% ","Age 48-57: ",,,"11.7%",
"Dw ejah Tow n Hall, Dw ejah, Maryland ",,,,,,,,"Males: 57.3% Females: 42.7% ","Age 28-37: 31.5% Age 38-47: 14.5% ","Age 58-67: Age 68+: ",,,"6.0%9.7%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Maryland ",,"Maryland, Electoral District 1",,,,,,
