"TIPOTEH, Togba-Nah  (APD) ","","",2,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",1,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",5,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",26,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",39,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",0,"","","","","","","","","",""
"",Valid Votes: ,"",359,"","","","","","","","","",""
"",Invalid Votes: ,"",14,"","","","","","","","","",""
"",Total Votes: ,"",373,"","","","","","","","","",""
Precinct: 45001 ,Polling Place: ,3 ,"","","","",Total: 539 ,Age 18-27: 35.6% ,Age 48-57: ,"","",13.4%,""
"Central High School Bopolu Tow n, Bopolu, Gbarpolu ","","","","","","",Males: 49.7% Females: 50.3% ,Age 28-37: 21.0% Age 38-47: 20.2% ,Age 58-67: Age 68+: ,"","",6.7%3.2%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Gbarpolu ,"","Gbarpolu, Electoral District 2","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",4 ,"DUKUKY, Jestina V. (CDC) ","",56 ,"DAVID, SR., Norris Gbartoe (NDPL) ","","","","","",63
"BRUMSKINE, Charles Walker (LP) ","","",32 ,"KOLLIE, George Blama (LP) ","",12 ,"DORLEY, Bartu Marie (NPP) ","","","","","",59
"CONNEH, Sekou Damate (PRODEM) ","","",0 ,"KONNEH, SR., Siafa Varney Gaindeh (NPP) ","",22 ,"FALLAH, Yassah Gbissi-K (COTOL) ","","","","","",68
"DIVINE, SR., Samuel Raymond (Ind) ","","",3 ,"MANNAH, SR., Isaac Freeman (COTOL) ","",44 ,"MCCAY, Joseph Botoe (CDC) ","","","","","",27
"FARHAT, David M. (FDP) ","","",1 ,"MENDS-COLE, Edward Sumo (LP) ","",42 ,"SANYON, Filiman Sekou (NRP) ","","","","","",7
"JALLAH, Armah Zolu (NPL) ","","",12 ,"NAATEHN, SR., Daniel Flomo (UP) ","",62 ,"SARNOR, Armah  (LP) ","","","","","",73
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",193 ,"SEH, William M. (COTOL) ","",62 ,"SARNOR, Momo Gornah (UP) ","","","","","",62
"KIADII, George Momodu (NATVIPOL) ","","",1 ,"TARNUE, SR., Harris Fomba (NDPL) ","",137 ,"",Valid Votes: ,"","","","",359
"KIEH, JR., George Klay (NDM) ","","",0 ,"TAWEH, Joseph Jarleakai (UP) ","",33 ,"",Invalid Votes: ,"","","","",13
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"TORMETIE, Samuel Sumo (NRP) ","",126 ,"",Total Votes: ,"","","","",372
"KPOTO, Robert Momo (ULD) ","","",0 ,"WESSO, A. Kanie (Ind) ","",23,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",6 ,"",Valid Votes: ,619,"","","","","","",""
