"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,71,"TALI, Phillip Saa (COTOL) ",,34,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes: ",579,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,1,,"Invalid Ballots: ",8,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,7,,"Valid Votes + Invalid Ballots: ",587,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,71,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,58,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,0,,,,,,,,,,
,"Valid Votes: ",,,314,,,,,,,,,,
,"Invalid Votes: ",,,7,,,,,,,,,,
,"Total Votes: ",,,321,,,,,,,,,,
"Precinct: 21003 ","Polling Place: ",1,,,,,,"Total: 200 ","Age 18-27: 31.5% ","Age 48-57: ",,,"6.5%",
"Gbakole Tow n Hall, GBAKOLE, Lofa ",,,,,,,,"Males: 48.0% Females: 52.0% ","Age 28-37: 31.0% Age 38-47: 18.5% ","Age 58-67: Age 68+: ",,,"7.0%5.5%",
,,,,,,"Senate ",,,"House of Representatives",,,,,
"President and Vice-President ",,,,,,"Lofa ",,,"Lofa, Electoral District 4",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,3,"FARKOLLIE, Joseph Hinnah (CDC) ",,2,"FARWENEL, SR., C. Cor-Pulu Fred (NDM) ",,,,,,6
"BRUMSKINE, Charles Walker (LP) ",,,,2,"GBEGBE, Frederick Sayon (UDA) ",,2,"GARMI, Jacob Mulbah (UP) ",,,,,,3
"CONNEH, Sekou Damate (PRODEM) ",,,,1,"GBOLLIE, Fayah Joe Sahr (UP) ",,2,"GODSON, James K. (ULD) ",,,,,,4
"DIVINE, SR., Samuel Raymond (Ind) ",,,,1,"JOE, Saa Philip (CDC) ",,8,"HOWARD, Beyan D. (LP) ",,,,,,8
"FARHAT, David M. (FDP) ",,,,0,"JOHNSON, Lavela Koboi (UP) ",,1,"KOLLIE, Moses Yarkpazuo (COTOL) ",,,,,,121
"JALLAH, Armah Zolu (NPL) ",,,,0,"KAMARA, Alfred S. (NRP) ",,1,"KPUKUYOU, William Kulubah (APD) ",,,,,,2
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,2,"KAMARA, Massaquoi Morlu (ULD) ",,6,,"Valid Votes: ",,,,,144
"KIADII, George Momodu (NATVIPOL) ",,,,0,"KANDAKAI, Lwopu Gawee (LP) ",,12,,"Invalid Votes: ",,,,,10
"KIEH, JR., George Klay (NDM) ",,,,1,"KANNEH, Fomba  (ALCOP) ",,6,,"Total Votes: ",,,,,154
"KORTO, Joseph D. Z. (LERP) ",,,,1,"KARBAR, Josephus M. (PRODEM) ",,6,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,0,"KOKOLO, Flomo Yanquiwolo (APD) ",,5,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,2,"KPARKILLEN, Stanely Sumo (NPP) ",,121,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,43,"KUPEE, Sumo G. (COTOL) ",,107,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"NGAIMA, SR., Samuel Kpehe (NDPL) ",,8,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,1,"SORSOR, SR., Kollie Massayan (LP) ",,4,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,14,"TALI, Phillip Saa (COTOL) ",,0,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,1,,"Valid Votes: ",291,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,2,,"Invalid Ballots: ",2,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,57,,"Valid Votes + Invalid Ballots: ",293,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,13,,,,,,,,,,
