"President and Vice-President ",,,,,,"Lofa ",,,"Lofa, Electoral District 4",,,,,
"Candidate ",,,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes"
"BARNES, Milton Nathaniel (LDP) ",,,,0,"FARKOLLIE, Joseph Hinnah (CDC) ",,0,"FARWENEL, SR., C. Cor-Pulu Fred (NDM) ",,,,,,1
"BRUMSKINE, Charles Walker (LP) ",,,,2,"GBEGBE, Frederick Sayon (UDA) ",,0,"GARMI, Jacob Mulbah (UP) ",,,,,,0
"CONNEH, Sekou Damate (PRODEM) ",,,,0,"GBOLLIE, Fayah Joe Sahr (UP) ",,0,"GODSON, James K. (ULD) ",,,,,,0
"DIVINE, SR., Samuel Raymond (Ind) ",,,,0,"JOE, Saa Philip (CDC) ",,0,"HOWARD, Beyan D. (LP) ",,,,,,4
"FARHAT, David M. (FDP) ",,,,0,"JOHNSON, Lavela Koboi (UP) ",,0,"KOLLIE, Moses Yarkpazuo (COTOL) ",,,,,,29
"JALLAH, Armah Zolu (NPL) ",,,,0,"KAMARA, Alfred S. (NRP) ",,0,"KPUKUYOU, William Kulubah (APD) ",,,,,,0
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,0,"KAMARA, Massaquoi Morlu (ULD) ",,0,,"Valid Votes: ",,,,,34
"KIADII, George Momodu (NATVIPOL) ",,,,0,"KANDAKAI, Lwopu Gawee (LP) ",,1,,"Invalid Votes: ",,,,,1
"KIEH, JR., George Klay (NDM) ",,,,0,"KANNEH, Fomba  (ALCOP) ",,0,,"Total Votes: ",,,,,35
"KORTO, Joseph D. Z. (LERP) ",,,,0,"KARBAR, Josephus M. (PRODEM) ",,1,,,,,,,
"KPOTO, Robert Momo (ULD) ",,,,0,"KOKOLO, Flomo Yanquiwolo (APD) ",,0,,,,,,,
"KROMAH, Alhaji G. V. (ALCOP) ",,,,0,"KPARKILLEN, Stanely Sumo (NPP) ",,25,,,,,,,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,,21,"KUPEE, Sumo G. (COTOL) ",,9,,,,,,,
"MORLU, John Sembe (UDA) ",,,,0,"NGAIMA, SR., Samuel Kpehe (NDPL) ",,0,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,,1,"SORSOR, SR., Kollie Massayan (LP) ",,1,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,,2,"TALI, Phillip Saa (COTOL) ",,0,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,,0,,"Valid Votes: ",37,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,,0,,"Invalid Ballots: ",1,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,,5,,"Valid Votes + Invalid Ballots: ",38,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,,2,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,,1,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,,1,,,,,,,,,,
,"Valid Votes: ",,,35,,,,,,,,,,
,"Invalid Votes: ",,,0,,,,,,,,,,
,"Total Votes: ",,,35,,,,,,,,,,
"Precinct: 21006 ","Polling Place: ",1,,,,,,"Total: 432 ","Age 18-27: 30.8% ","Age 48-57: ",,,"9.3%",
