"WOAH-TEE, Joseph Mamadee (LPL) ","","","",0,"","","","","","","","","",""
"",Valid Votes: ,"","",327,"","","","","","","","","",""
"",Invalid Votes: ,"","",0,"","","","","","","","","",""
"",Total Votes: ,"","",327,"","","","","","","","","",""
Precinct: 18003 ,Polling Place: ,1 ,"","","","","",Total: 205 ,Age 18-27: 37.6% ,Age 48-57: ,"","",10.7%,""
"Betu public school, Betu, Grand Kru ","","","","","","","",Males: 50.2% Females: 49.8% ,Age 28-37: 22.4% Age 38-47: 17.6% ,Age 58-67: Age 68+: ,"","",5.9%5.9%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Grand Kru ,"","Grand Kru, Electoral District 1","","","","","",""
Candidate ,"","","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","","",0 ,"BARTEKWA, Numene T.H. (COTOL) ","",1 ,"BOYE, Vincent B. (LP) ","","","","","",0
"BRUMSKINE, Charles Walker (LP) ","","","",0 ,"BARTU, Amos Yonkon (APD) ","",0 ,"BROHDONYEN, SR., Proftehneseo P. (NDPL) ","","","","","",0
"CONNEH, Sekou Damate (PRODEM) ","","","",0 ,"BEDELL, SR., W. Frey Augustus (Ind) ","",0 ,"KIPI, Abraham Kipi (COTOL) ","","","","","",1
"DIVINE, SR., Samuel Raymond (Ind) ","","","",0 ,"DOE, J. Sawoloday (LP) ","",0 ,"KOFA, SR., Stephen Gbeh (CDC) ","","","","","",0
"FARHAT, David M. (FDP) ","","","",0 ,"JARGBA, Thompson N. (CDC) ","",1 ,"SARKOR, Isaiah Moboe (UP) ","","","","","",31
"JALLAH, Armah Zolu (NPL) ","","","",0 ,"JOHNSON, Tiahkwee Weah (UP) ","",2 ,"SLOPADOE, Gbenimah Balu (APD) ","","","","","",6
"JOHNSON-SIRLEAF, Ellen  (UP) ","","","",3 ,"KAYDOR, SR., Victor E. Dweh (NDM) ","",0 ,"TOE, William Buwolo (NPP) ","","","","","",152
"KIADII, George Momodu (NATVIPOL) ","","","",0 ,"KYNE, Samuel E. K. (LP) ","",1 ,"",Valid Votes: ,"","","","",190
"KIEH, JR., George Klay (NDM) ","","","",0 ,"NELSON, Blamoh  (APD) ","",160 ,"",Invalid Votes: ,"","","","",1
"KORTO, Joseph D. Z. (LERP) ","","","",0 ,"NIMELY, Thomas Nah (NPP) ","",1 ,"",Total Votes: ,"","","","",191
"KPOTO, Robert Momo (ULD) ","","","",0 ,"SHERMAN, Beatrice Nimene (CDC) ","",173,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","","",0 ,"SIEH, SR., D. Nyandeh (NDPL) ","",0,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","","",0 ,"SNEH, Rosalind Segbe Tonne (UP) ","",2,"","","","","","",""
"MORLU, John Sembe (UDA) ","","","",0 ,"WEAH, Zaw-Dioh  (Ind) ","",0,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","","",0 ,"WOTORSON, Cletus Segbe (COTOL) ","",9,"","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","","",0 ,"",Valid Votes: ,350,"","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","","",176 ,"",Invalid Ballots: ,0,"","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","","",0 ,"",Valid Votes + Invalid Ballots: ,350,"","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","","",0,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","","",12,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","","",0,"","","","","","","","","",""
"",Valid Votes: ,"","",191,"","","","","","","","","",""
"",Invalid Votes: ,"","",0,"","","","","","","","","",""
"",Total Votes: ,"","",191,"","","","","","","","","",""
Precinct: 18004 ,Polling Place: ,1 ,"","","","","",Total: 331 ,Age 18-27: 32.0% ,Age 48-57: ,"","",11.2%,""
