Precinct: 39001 ,Polling Place ,1 ,"","","","","",Total: 554 ,Age 18-27: 47.7% ,Age 48-57: ,"","",7.4%,""
"Multilateral High school, Farmerville, Sinoe ","","","","","","","",Males: 60.3% Females: 39.7% ,Age 28-37: 20.8% Age 38-47: 16.6% ,Age 57-68: Age 68+: ,"","",5.6%2.0%,""
"","","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","","",Sinoe ,"","","Sinoe, Electoral District 2","","","","",""
"Administration Building, Johnstone street, Sinoe ","","","","","","",Males: 54.7% Females: 45.3% ,Age 28-37: 31.1% Age 38-47: 13.3% ,Age 57-68: Age 68+: ,"","",7.0%1.5%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Sinoe ,"","","Sinoe, Electoral District 2","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",7 ,"BARTEE, Nathaniel Sniweah (COTOL) ","",68 ,"DAVIES, James Timothy (APD) ","","","","","",139
"BRUMSKINE, Charles Walker (LP) ","","",21 ,"CLARKE, Charles Amstard (UP) ","",72 ,"GREENE, Fannie Louise (LPL) ","","","","","",5
"CONNEH, Sekou Damate (PRODEM) ","","",8 ,"DOE, Julius Blamo (LP) ","",27 ,"JABBAH, John T. A. (FDP) ","","","","","",9
"DIVINE, SR., Samuel Raymond (Ind) ","","",2 ,"GIBSON, Myrtle Francelle (PRODEM) ","",16 ,"JARTEH, Priscillia G. Kargeor (NRP) ","","","","","",28
"FARHAT, David M. (FDP) ","","",0 ,"NAGBE, Joseph Nyenetue (APD) ","",148 ,"MANEE, Manee Wion (UP) ","","","","","",18
"JALLAH, Armah Zolu (NPL) ","","",3 ,"NYENPAN, Mobutu Vlah (APD) ","",98 ,"MONBOE, Alfred Gebeah (NPP) ","","","","","",6
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",44 ,"SARPLOH, Stephen Sloh (CDC) ","",10 ,"NAGBE, Nah T. (FAPL) ","","","","","",2
"KIADII, George Momodu (NATVIPOL) ","","",3 ,"SLEWEON, SR., Harrison Nimleh (NPP) ","",42 ,"PANYONNOH, I, K-Hastings  (LERP) ","","","","","",9
"KIEH, JR., George Klay (NDM) ","","",5 ,"TURPLUE, Emma G. (LP) ","",16 ,"QUIAH, Victor Soloe (CDC) ","","","","","",29
"KORTO, Joseph D. Z. (LERP) ","","",2 ,"",Valid Votes: ,497 ,"ROBERTS, George M. W. (NDPL) ","","","","","",6
"KPOTO, Robert Momo (ULD) ","","",0 ,"",Invalid Ballots: ,13 ,"SARKOR, Othello Wiah (NDM) ","","","","","",21
"KROMAH, Alhaji G. V. (ALCOP) ","","",4 ,"",Valid Votes + Invalid Ballots: ,510 ,"TARPEH, Amos W. (COTOL) ","","","","","",21
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",5 ,"","","","TUOPAY, Virginia Blyee (LP) ","","","","","",6
"MORLU, John Sembe (UDA) ","","",0 ,"","","","",Valid Votes: ,"","","","",299
"REEVES, Alfred Garpee (NRP) ","","",0 ,"","","","",Invalid Votes: ,"","","","",28
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",6 ,"","","","",Total Votes: ,"","","","",327
"TIPOTEH, Togba-Nah  (APD) ","","",66,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",4,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",1,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",4,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",134,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",2,"","","","","","","","","",""
"",Valid Votes: ,"",321,"","","","","","","","","",""
"",Invalid Votes: ,"",7,"","","","","","","","","",""
"",Total Votes: ,"",328,"","","","","","","","","",""
Precinct: 39003 ,Polling Place ,2 ,"","","","",Total: 482 ,Age 18-27: 42.3% ,Age 48-57: ,"","",9.8%,""
"Administration Building, Johnstone street, Sinoe ","","","","","","",Males: 52.5% Females: 47.5% ,Age 28-37: 27.0% Age 38-47: 14.9% ,Age 57-68: Age 68+: ,"","",4.1%1.9%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Sinoe ,"","","Sinoe, Electoral District 2","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",4 ,"BARTEE, Nathaniel Sniweah (COTOL) ","",60 ,"DAVIES, James Timothy (APD) ","","","","","",134
"BRUMSKINE, Charles Walker (LP) ","","",22 ,"CLARKE, Charles Amstard (UP) ","",66 ,"GREENE, Fannie Louise (LPL) ","","","","","",4
"CONNEH, Sekou Damate (PRODEM) ","","",2 ,"DOE, Julius Blamo (LP) ","",31 ,"JABBAH, John T. A. (FDP) ","","","","","",11
"DIVINE, SR., Samuel Raymond (Ind) ","","",2 ,"GIBSON, Myrtle Francelle (PRODEM) ","",12 ,"JARTEH, Priscillia G. Kargeor (NRP) ","","","","","",21
"FARHAT, David M. (FDP) ","","",1 ,"NAGBE, Joseph Nyenetue (APD) ","",127 ,"MANEE, Manee Wion (UP) ","","","","","",10
"JALLAH, Armah Zolu (NPL) ","","",0 ,"NYENPAN, Mobutu Vlah (APD) ","",94 ,"MONBOE, Alfred Gebeah (NPP) ","","","","","",5
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",42 ,"SARPLOH, Stephen Sloh (CDC) ","",16 ,"NAGBE, Nah T. (FAPL) ","","","","","",2
"KIADII, George Momodu (NATVIPOL) ","","",1 ,"SLEWEON, SR., Harrison Nimleh (NPP) ","",47 ,"PANYONNOH, I, K-Hastings  (LERP) ","","","","","",5
"KIEH, JR., George Klay (NDM) ","","",1 ,"TURPLUE, Emma G. (LP) ","",11 ,"QUIAH, Victor Soloe (CDC) ","","","","","",34
"KORTO, Joseph D. Z. (LERP) ","","",1 ,"",Valid Votes: ,464 ,"ROBERTS, George M. W. (NDPL) ","","","","","",6
"KPOTO, Robert Momo (ULD) ","","",1 ,"",Invalid Ballots: ,26 ,"SARKOR, Othello Wiah (NDM) ","","","","","",21
"KROMAH, Alhaji G. V. (ALCOP) ","","",3 ,"",Valid Votes + Invalid Ballots: ,490 ,"TARPEH, Amos W. (COTOL) ","","","","","",15
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",4 ,"","","","TUOPAY, Virginia Blyee (LP) ","","","","","",11
"MORLU, John Sembe (UDA) ","","",1 ,"","","","",Valid Votes: ,"","","","",279
"REEVES, Alfred Garpee (NRP) ","","",1 ,"","","","",Invalid Votes: ,"","","","",43
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",10 ,"","","","",Total Votes: ,"","","","",322
"TIPOTEH, Togba-Nah  (APD) ","","",65,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",1,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",0,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",2,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",118,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",2,"","","","","","","","","",""
"",Valid Votes: ,"",284,"","","","","","","","","",""
"",Invalid Votes: ,"",39,"","","","","","","","","",""
"",Total Votes: ,"",323,"","","","","","","","","",""
Precinct: 39003 ,Polling Place ,3 ,"","","","",Total: 474 ,Age 18-27: 39.5% ,Age 48-57: ,"","",10.8%,""
"Administration Building, Johnstone street, Sinoe ","","","","","","",Males: 50.6% Females: 49.4% ,Age 28-37: 24.3% Age 38-47: 19.2% ,Age 57-68: Age 68+: ,"","",4.6%1.7%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Sinoe ,"","","Sinoe, Electoral District 2","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",3 ,"BARTEE, Nathaniel Sniweah (COTOL) ","",55 ,"DAVIES, James Timothy (APD) ","","","","","",125
"BRUMSKINE, Charles Walker (LP) ","","",18 ,"CLARKE, Charles Amstard (UP) ","",71 ,"GREENE, Fannie Louise (LPL) ","","","","","",3
"CONNEH, Sekou Damate (PRODEM) ","","",4 ,"DOE, Julius Blamo (LP) ","",21 ,"JABBAH, John T. A. (FDP) ","","","","","",6
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"GIBSON, Myrtle Francelle (PRODEM) ","",3 ,"JARTEH, Priscillia G. Kargeor (NRP) ","","","","","",23
"FARHAT, David M. (FDP) ","","",1 ,"NAGBE, Joseph Nyenetue (APD) ","",134 ,"MANEE, Manee Wion (UP) ","","","","","",18
"JALLAH, Armah Zolu (NPL) ","","",0 ,"NYENPAN, Mobutu Vlah (APD) ","",83 ,"MONBOE, Alfred Gebeah (NPP) ","","","","","",7
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",50 ,"SARPLOH, Stephen Sloh (CDC) ","",7 ,"NAGBE, Nah T. (FAPL) ","","","","","",4
"KIADII, George Momodu (NATVIPOL) ","","",3 ,"SLEWEON, SR., Harrison Nimleh (NPP) ","",47 ,"PANYONNOH, I, K-Hastings  (LERP) ","","","","","",10
"KIEH, JR., George Klay (NDM) ","","",4 ,"TURPLUE, Emma G. (LP) ","",6 ,"QUIAH, Victor Soloe (CDC) ","","","","","",26
"KORTO, Joseph D. Z. (LERP) ","","",2 ,"",Valid Votes: ,427 ,"ROBERTS, George M. W. (NDPL) ","","","","","",13
"KPOTO, Robert Momo (ULD) ","","",0 ,"",Invalid Ballots: ,8 ,"SARKOR, Othello Wiah (NDM) ","","","","","",38
"KROMAH, Alhaji G. V. (ALCOP) ","","",5 ,"",Valid Votes + Invalid Ballots: ,435 ,"TARPEH, Amos W. (COTOL) ","","","","","",18
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",2 ,"","","","TUOPAY, Virginia Blyee (LP) ","","","","","",8
"MORLU, John Sembe (UDA) ","","",0 ,"","","","",Valid Votes: ,"","","","",299
"REEVES, Alfred Garpee (NRP) ","","",1 ,"","","","",Invalid Votes: ,"","","","",16
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",5 ,"","","","",Total Votes: ,"","","","",315
"TIPOTEH, Togba-Nah  (APD) ","","",88,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",2,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",1,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",2,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",113,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",1,"","","","","","","","","",""
"",Valid Votes: ,"",305,"","","","","","","","","",""
"",Invalid Votes: ,"",11,"","","","","","","","","",""
"",Total Votes: ,"",316,"","","","","","","","","",""
Precinct: 39003 ,Polling Place ,4 ,"","","","",Total: 464 ,Age 18-27: 40.3% ,Age 48-57: ,"","",8.2%,""
"Administration Building, Johnstone street, Sinoe ","","","","","","",Males: 54.7% Females: 45.3% ,Age 28-37: 27.2% Age 38-47: 15.7% ,Age 57-68: Age 68+: ,"","",5.6%3.0%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Sinoe ,"","","Sinoe, Electoral District 2","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",3 ,"BARTEE, Nathaniel Sniweah (COTOL) ","",72 ,"DAVIES, James Timothy (APD) ","","","","","",135
"BRUMSKINE, Charles Walker (LP) ","","",12 ,"CLARKE, Charles Amstard (UP) ","",102 ,"GREENE, Fannie Louise (LPL) ","","","","","",1
"CONNEH, Sekou Damate (PRODEM) ","","",3 ,"DOE, Julius Blamo (LP) ","",25 ,"JABBAH, John T. A. (FDP) ","","","","","",2
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"GIBSON, Myrtle Francelle (PRODEM) ","",11 ,"JARTEH, Priscillia G. Kargeor (NRP) ","","","","","",38
"FARHAT, David M. (FDP) ","","",0 ,"NAGBE, Joseph Nyenetue (APD) ","",154 ,"MANEE, Manee Wion (UP) ","","","","","",16
"JALLAH, Armah Zolu (NPL) ","","",2 ,"NYENPAN, Mobutu Vlah (APD) ","",104 ,"MONBOE, Alfred Gebeah (NPP) ","","","","","",7
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",47 ,"SARPLOH, Stephen Sloh (CDC) ","",24 ,"NAGBE, Nah T. (FAPL) ","","","","","",13
