06101 ,Phebe Community ,Phebe Hospital Compound ,3 ,1424
06013 ,Gleannasiasue palava Hut ,Gleannasiasue ,3 ,1054
06016 ,Juah Mannah Elem. School ,Fenutoli ,2 ,717
06022 ,Garyea Public School ,Garyea II ,3 ,1204
06041 ,David Fajue School ,Gbartala ,4 ,1721
06056 ,Ganla Town Hall ,Ganla Town ,1 ,436
06114 ,Glenkormah Palava Hut ,Glenkormah Town ,2 ,970
06108 ,Flomo Wannah Elem. School ,Suakoko ,4 ,1673
06107 ,Suakoko Center High ,Suakoko ,4 ,1654
06106 ,Suakoko Center High ,Suakoko ,1 ,353
06105 ,G.W. Gibson School ,Sinyea ,3 ,1213
06104 ,Cuttington University ,Cuttington Compound ,2 ,533
06091 ,Palala Palava Hut ,Palala ,1 ,404
06100 ,Sergeant Kollie Town Market ,Sergeant Kollie Town ,5 ,2018
06023 ,Dweayeapolu Palava Hut ,Dowayeapolu ,1 ,191
06055 ,Gokai Public School ,Gokai Town ,2 ,826
06054 ,Gwenimah Methodist School ,Gwenimah Town ,2 ,705
06053 ,Guermue Public School ,Guermue Town ,2 ,739
06044 ,Taylor-ta Palava Hut ,Taylor-Ta ,3 ,1399
06042 ,David Fajue School ,Gbartala ,4 ,1704
06040 ,Tumata Palava Hut ,Tumata ,2 ,587
06103 ,Balamah Town Hall ,Balamah I ,3 ,1137
06043 ,Voloblai palava Hut ,Voloblah ,2 ,826
