30322 ,Wilbel Foundation Elem. School- Rock Hill ,Rock Hill/ GSA Road ,5 ,2024
30325 ,Immanuel Christian Academy ,S.D. Cooper Road ,7 ,3000
30323 ,Carver Mission School ,Opp. ELWA Compound ,6 ,2999
30321 ,Mount Carmel Institute ,GSA Road ,6 ,2726
30320 ,David Gueh Memorial UMC ,GSA Road ,6 ,2507
30319 ,Broluco Christian School System ,Kpelle Town/ELWA ,7 ,3001
30312 ,Solid Rock Christian School ,"Opp. Golden Key, King Gray Community ",6 ,2583
30311 ,Cavalry Chapel Mission School ,Borbor Town/RIA Road ,5 ,2396
30310 ,Helen Teah Memory Christian Institute ,Borbor Town-Thinker Village ,7 ,3198
30309 ,Love A Child Ophanage Home ,"Baptist Seminary  Communty,Kendejah ",7 ,3011
30307 ,Kendejah High School/Rehab ,Rehab Community ,5 ,2223
30308 ,Kendejah Community School ,Old Kendejah Community/ Beach ,5 ,2015
30313 ,Sis. Kathleen McQuire Memorial Catholic High School ,Rehab Cooper Farm ,4 ,1533
30324 ,Seventh Day Adventist School ,ELWA Junction ,8 ,3530
