24131 ,26 Gate Community School ,26 Gate Community ,2 ,536
24120 ,Federation of Transport Union ,Central Kakata ,3 ,1024
24121 ,Brich-McNutt school ,Buzzy quarter ,2 ,864
24122 ,E.J. Yancy School ,14 Road Community ,3 ,1310
24125 ,St. Augustine School ,Police Station Community ,6 ,2646
24126 ,Dominique Hena School ,New Kakata ,3 ,1451
24127 ,Asaru Isamic School ,Vai Town ,3 ,1231
24128 ,Mission for Today School ,New Kakata ,3 ,1023
24130 ,Madina Community School ,Madina Community ,1 ,449
24118 ,Bright Farm School ,R.S.S. Bright Farm ,1 ,309
24076 ,Divison 43 School ,Divison 43 ,3 ,1174
24129 ,Gborfela Public School ,Gborfela ,1 ,286
24024 ,Division 31 Camp 3 Office ,Division 31 Camp 3 ,3 ,1184
24016 ,Divison 29 Camp 2 Office ,Divison 29 Camp 2 & 3 ,2 ,801
24119 ,Evening Star Baptist Church ,Mandingo Quarter ,4 ,1622
24017 ,Division 36 Office ,Division 36 ,2 ,551
24015 ,Division 25 Office ,Division 25 ,1 ,193
24023 ,Division 38 Old Camp office ,Division 38 Old Camp ,3 ,1293
24025 ,Division 33 Office ,Division 33 ,1 ,357
24027 ,Division 26 Office ,Division 26 ,2 ,812
24028 ,Division 24 Camp 2 School ,Division 24 Camp 2 ,1 ,459
24029 ,Division 40 Camp 1 Office ,Division 40 Camp 1 ,4 ,1552
24032 ,Divison 28 office ,Divison 28 ,3 ,1122
24035 ,Division 37 Office ,Division 37 ,2 ,737
24022 ,Division 14 Camp 3 Office ,Division 14 Camp 3 ,2 ,790
