06065 ,Jorwah Public school ,Jorwah ,2 ,869
06077 ,Laryea Public School ,Laryea ,2 ,543
06086 ,Shankpowai Palava Hut ,Shankpowai I ,2 ,711
06088 ,Nyansue Palava Hut ,Nyansue Two ,2 ,534
06092 ,Kollie-TaPalava Hut ,Kollie-ta ,2 ,660
06102 ,Shankpallai Public School ,Shankpallai ,3 ,1100
06034 ,Feetuah Palava Hut ,Feetuah ,1 ,361
06129 ,Yowee Public School ,Yowee ,2 ,844
06130 ,Mbelequah Palava Hut ,Mbelequah ,2 ,565
06093 ,PeleleI Public School ,PeleleI ,2 ,629
06018 ,Foequelleh Public School ,Foequelleh ,5 ,2448
06049 ,Gbonota Clinic ,Gbonota ,5 ,2196
06004 ,Belefanai Adm. Building ,Belefanai ,4 ,1835
06060 ,Gou Palava Hut ,Gou II ,2 ,656
06015 ,Farvey Public School ,Farvey ,2 ,925
06064 ,Paye -Ta Public School ,Paye -Ta ,2 ,550
06019 ,Gahnmue Public School ,Gahnmue ,4 ,1769
06031 ,Naama Public School ,Naama ,3 ,1146
06032 ,Gbansue Sulonmah Public School ,Gbansue Sulonmah ,3 ,1030
06033 ,Gbalatuah Public School ,Gbalatuah ,3 ,1406
06039 ,Gbarnga Siaquelleh Public School ,Gbarnga Siaquelleh ,3 ,1462
06008 ,Bellemu Public School ,Bellemu ,4 ,1533
