21116 ,Zawordamai Public School ,Zawordamai ,2 ,799
21086 ,Somalahun Town Hall ,Somalahun ,3 ,1136
21078 ,Savalahun Town Hall ,Savalahun ,2 ,1011
21072 ,Pasolahun Town Hall ,Pasolahun ,1 ,453
21084 ,Kolahun Public School ,Kolahun ,5 ,2316
21085 ,Kolahun Town Hall ,Kolahun ,5 ,2453
21073 ,Gondorlahun Public School ,Gondorlahun ,2 ,787
21093 ,Tawalahun Town Hall ,Tawalahun Town ,2 ,983
21094 ,Sammie Public School ,Sammie Ta ,2 ,687
21095 ,Tobogizizu Public School ,Tobogizizu ,3 ,1362
21112 ,Gelema Town Hall ,Gelema ,2 ,594
21117 ,Johny's Town Public School ,Johnny's ,1 ,359
21135 ,Ngorkorhun Public School ,Ngorkorhun ,2 ,1004
21111 ,Yaselahun Town Hall ,Yasselahun ,1 ,396
21013 ,Lukasu Town Hall ,Lukasu ,3 ,1266
21079 ,Kamatahum Public School ,Kamatahun ,2 ,1003
21014 ,Bondowalahun Town Hall ,Bondowalahun # 1 ,2 ,781
21015 ,Bowalahun Town Hall ,Boawohun ,2 ,983
21016 ,Gilema Town Hall ,Gilema ,1 ,460
21019 ,Balahun Public School ,Balahun (2) ,3 ,1194
21037 ,Taninahun Public School ,Taninahun ,3 ,1197
21050 ,Kpadehmai Town Hall ,Kpadehmai Town ,3 ,1107
21068 ,Korworhun Public School ,Korworhun ,2 ,689
21055 ,Kpakamai Public School ,Kpakamai ,1 ,366
21056 ,Bolahun Public School ,Bolahun Town (A) ,3 ,1435
21057 ,Sosomolahun Public School ,Sosomoilahun ,3 ,1092
21060 ,Lawalazu Town Hall ,Lawalazu ,3 ,1091
21061 ,Lawalazu Public School ,Lawalazu ,2 ,860
21067 ,Mbabahun Public School ,Mbabahun ,2 ,866
21071 ,Nyandemoilahun Public School ,Nyandemoilahun ,3 ,1107
21054 ,Zeayorzu Public School ,Zeayorzu Town ,1 ,371
