15001 ,Bargblor Public School ,Bargblor ,1 ,281
15044 ,Tojallah Elem. School ,Tojallah ,1 ,254
15035 ,Pouh Elem. & Jr High School ,Pouh ,2 ,731
15036 ,Janzon Public School ,Janzon ,3 ,1318
15037 ,Sennehwen Elem. School ,Sennehwen ,2 ,532
15040 ,Tian Elem. School ,Tian ,1 ,438
15041 ,Toe Memorial Institute ,Toe ,4 ,1545
15045 ,Gboleken Pub. School ,Gboleken ,2 ,657
15046 ,Garley Town Pub. Sch. ,Garley ,1 ,446
15047 ,Gwein Town Public School ,Gwein ,1 ,198
15048 ,Queboe Public School ,Queboe ,1 ,351
15054 ,Lutheran Elem. School ,Zleh ,2 ,565
15034 ,Polar Public School ,Polar ,2 ,736
15055 ,Borkay High school ,Zleh ,3 ,1372
15010 ,Chayee Public School ,Chayee ,1 ,420
15006 ,Bodee Public School ,Bodee ,1 ,174
15030 ,B'hai Jorzon Public School ,B'hai Jorzon ,2 ,603
15007 ,Boe-Geewon Public School ,Boe-Geewon ,1 ,519
15011 ,Dayblay Elem. School ,Dayblay ,1 ,290
15013 ,Duogee Marbo Elem. School ,Duogee ,2 ,624
15015 ,Gaye Town Elem. School ,Gaye ,2 ,543
15017 ,Gbarken Elem. School ,Gbarken ,2 ,520
15019 ,Tuzon Public School ,Tuzon ,1 ,359
15020 ,Zai Public School ,Zai ,5 ,2438
15024 ,Pohan Elem. School ,Pohan ,2 ,738
15026 ,Jarwodee Public School ,Jarwodee ,1 ,426
15027 ,Jozon Elem. School ,Jozon ,1 ,187
15004 ,B'hai Tarway Elem. School ,B'hai Tarway ,2 ,660
