06111 ,Garney Public School ,Garney I ,1 ,395
06024 ,Land Mines Action Building ,Tumutu ,2 ,678
06025 ,Salala Clinic ,Salala ,3 ,1409
06026 ,Martha Tubman School ,Salala ,3 ,1371
06048 ,Gbondoi Public School ,Gbondoi Town ,3 ,1186
06057 ,Quelleme Toto Elem. School ,Maimue Town ,3 ,1456
06058 ,Moipa-ta Public School ,Moipa-ta ,2 ,992
06059 ,Velehyn Public School ,Velehyn ,2 ,778
06072 ,Loma -ta Lutheran School ,Loma ,2 ,933
06073 ,Kpakolokoyah Public School ,Kpakolokoyah ,4 ,1756
06017 ,Flehla Public School ,Flehla ,6 ,2525
06099 ,Sawyea Polu palava Hut ,Sawyea Polu Town ,2 ,550
06027 ,Teaslay Mission ,Teaslay Mission ,2 ,706
06113 ,Tokpaipolu Public School ,Tokpaipolu Town ,2 ,736
06115 ,E.J. Yancy High School ,Totota ,4 ,1760
06116 ,St. .John Lutheran School ,Totota ,3 ,1347
06117 ,Upper Room High School ,Totota ,2 ,875
06118 ,New Totota Community School ,Mulbah Farm ,2 ,972
06124 ,Yaniquelleh public School ,Yaniquelleh ,2 ,759
06125 ,San-ta Public School ,San-ta ,1 ,408
06132 ,Zeansue Public School ,Zeansue I ,4 ,1951
06133 ,Kokila Palava Hut ,Kokila ,3 ,1217
06079 ,Leilei Public School ,Leilei ,1 ,255
06050 ,Gborkornemah Public School ,Gborkornemah ,3 ,1331
