33078 ,Foundation Academic Day Care & Elem School ,Ganta ,4 ,1583
33073 ,YMCA High School ,Ganta ,5 ,2078
33132 ,George Dumber School ,Nengben ,3 ,1144
33081 ,Ganta Rehab Palava Hut ,Ganta ,2 ,714
33080 ,Liberty Christian Institute ,Ganta ,4 ,1665
33079 ,Gbartu Quarter Palava Hut ,Ganta ,6 ,2926
33188 ,Yelekoryee Public School ,Yelekoryee ,1 ,270
33076 ,Geolando Public School ,Ganta ,7 ,3004
33074 ,Yini High School ,Ganta ,4 ,1641
33072 ,J.W. Pearlson School ,Ganta ,4 ,1966
33071 ,Small Ganta Palava Hut ,Ganta ,2 ,936
33069 ,Gbloyee United Methodist School ,Ganta ,5 ,2193
33032 ,Pledehyee Public School ,Pledehyee ,1 ,329
33077 ,Vision International School ,Ganta ,4 ,1585
33075 ,Messiah Christian Academy ,Ganta ,5 ,2384
