27003 ,Big Town Public School ,Bolodui ,3 ,1281
27019 ,Middle Town Hall ,Middle Town ,1 ,233
27018 ,Little Wlebo Elem. School ,Little Wlebo # 1 ,1 ,186
27017 ,Kablaken Town Hall ,Kablaken ,1 ,114
27016 ,Spring Hill Yealu Elem. School ,Spring Hill ,1 ,312
27006 ,Fodoken Town Hall ,Fodoken ,1 ,294
27004 ,Cavalla Big Town Public School ,Cavalla Big Town ,2 ,928
27001 ,Barraken Elem. School ,Barraken ,3 ,1058
27021 ,Pedebo Elem. School ,Pedebo ,1 ,303
27073 ,Harper City Hall ,Harper ,3 ,1127
27005 ,Fish Town Public School ,Fish Town ,1 ,493
27022 ,Yookudi Elem. School ,Yookudi ,2 ,824
27028 ,Rock Town Public School ,Rock Town ,2 ,524
27029 ,Mission Town Hall ,Mission Town ,1 ,126
27032 ,Whole Graway Elem. School ,Whole Graway ,1 ,219
27033 ,Pullah Elem. School ,Pullah ,1 ,417
27036 ,Wuduke Palava Hut ,Wuduke ,2 ,879
27074 ,Cape Palmas High School ,Harper ,3 ,1306
27075 ,Agnes Thompson Elem. School ,Harper ,3 ,1404
27076 ,New Kru Town Hall ,"New Kru Town, Harper ",2 ,753
27077 ,New Kru Town Palava Hut ,"New Kru Town, Harper ",2 ,811
27078 ,East Harper Elem. School ,Harper ,4 ,1837
27035 ,Worteken Town Hall ,Worteken ,1 ,199
