45022 ,Gbaryama Town Hall ,Gbaryama ,2 ,835
45061 ,Gbarquoita Town Hall ,Guyan-ta ,2 ,718
45060 ,Bopolu Central High School ,Bopolu ,6 ,2823
45053 ,Totoquelleh Public School ,Totoquelleh ,2 ,979
45049 ,Henry Town Palava Hut ,Henry ,6 ,2565
45010 ,Fallah Palava Hut ,Fassah ,1 ,287
45040 ,Nyeamah School ,Nyeamah ,1 ,344
45023 ,Gokallah Palava Hut ,Gokallah ,4 ,1594
45009 ,Bombomah Public School ,Bombomah ,2 ,623
45019 ,Gbarngay School ,Gbarngay ,2 ,865
45050 ,Manorwella Public School ,Manorwella ,1 ,199
45033 ,Gedema Public School ,Gedema ,2 ,853
45048 ,Tawalata Town Hall ,Tawalata ,1 ,269
