06096 ,Samay Public School ,Samay ,2 ,995
06158 ,N.V. Massaquoi School ,Gbarnga ,7 ,2994
06157 ,Lelekpayea Community School ,Lelekpayea Community ,4 ,1665
06154 ,J.F. Clark Kindergaten School ,Gbarnga ,7 ,3000
06149 ,Tomue Palava Hut ,Tomue ,2 ,809
06128 ,Yeanawoun Palava Hut ,Yeanawoun Town ,3 ,1342
06127 ,Neyanyarlah Palava Hut ,Neyanyarlah Town ,2 ,517
06109 ,Tamay-ta Public School ,Tammy_Ta ,2 ,621
06083 ,Bayata Public School ,Bayata ,2 ,840
06006 ,Beletanta Palava Hut ,Beletanta ,2 ,608
06110 ,Foloblah palava Hut ,Foloblah ,2 ,509
06003 ,Blameyea Public School ,Blameyea ,2 ,756
06082 ,Leleh Public School ,Leleh ,2 ,763
06007 ,Tolomanai Palava Hut ,Tolomanai ,2 ,857
06021 ,Garwuquelleh Palava Hut ,Garwuquelleh ,3 ,1380
06045 ,Gbenequelleh Public School ,Gbenequelleh ,4 ,1507
06062 ,Jankpayah-Ta Palava Hut ,Jankpayah-Ta ,1 ,454
06063 ,Janyea Public School ,Janyea ,4 ,1791
06071 ,Kollieta-Wola Public School ,Kollieta-Wola ,2 ,670
06081 ,Mano Weansue Public School ,Mano-Weasue ,1 ,466
