03001 ,TUBMANBURG ,BOMI JR. HIGH SCHOOL ,3 ,"1,444 ",- ,-
03003 ,TUBMANBURG ,COURT HOUSE ,5 ,"2,559 ",- ,-
*03005 ,TUBMANBURG ,NEW ROAD,"","","",""
03004 ,TUBMANBURG ,TBI ,3 ,"1,224 ",- ,-
*03007 ,TUBMANBURG ,HARMON HILL,"","","",""
03006 ,TUBMANBURG ,DARMALAH ,2 ,666 ,- ,-
03008 ,TUBMANBURG ,GAS STATION ,3 ,"1,520 ",- ,-
03009 ,TUBMANBURG ,ST. DOMINIC SCHOOL ,2 ,"1,078 ",- ,-
03043 ,BE REEVES ,BE REEVES PALAVA HUT ,1 ,170 ,- ,-
03044 ,BESAO ,BESAO COMMUNITY SCHOOL ,1 ,497 ,- ,-
03045 ,COLEMAN HILL ,COLEMAN HILL PALAVA HUT ,1 ,428 ,- ,-
03046 ,BEAJAH ,BEAJAH PALAVA HUT ,1 ,261 ,- ,-
03047 ,BEAFINIE ,BEAFINIE TOWN HALL ,1 ,416 ,- ,-
03048 ,GAYA HILLS ,GAYA HILLS COMMUNITY SCHOOL ,3 ,"1,338 ",- ,-
03049 ,ZARMEAYAN ,ZARMEAYAN PALAVA HUT ,1 ,124 ,- ,-
03050 ,BOLA TOWN ,BOLA TOWN PALAVA HUT ,1 ,279 ,- ,-
03052 ,YOMO TOWN ,YOMO TOWN PALAVA HUT ,1 ,161 ,- ,-
03053 ,BAMO ,BAMO PALAVA HUT ,1 ,416 ,- ,-
