"WEAH, George Manneh (CDC) ",,,,100,"WEAH, George Manneh (CDC) ",,,,164,"WEAH, George Manneh (CDC) ",,,,177
,"Valid Votes: ",,,141,,"Valid Votes: ",,,186,,"Valid Votes: ",,,191
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,3
,"Total Votes: ",,,143,,"Total Votes: ",,,188,,"Total Votes: ",,,194
"Precinct: 42008 ","Polling Place: ",1,,,"Precinct: 42008 ","Polling Place: ",2,,,"Precinct: 42008 ","Polling Place: ",3,,
"Public School , Chergboken ",,,,,"Public School , Chergboken ",,,,,"Public School , Chergboken",,,,
"Registered Voters: ",479,,,,"Registered Voters: ",469,,,,"Registered Voters: ",479,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,23,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,23,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,25
"WEAH, George Manneh (CDC) ",,,,122,"WEAH, George Manneh (CDC) ",,,,99,"WEAH, George Manneh (CDC) ",,,,160
,"Valid Votes: ",,,145,,"Valid Votes: ",,,122,,"Valid Votes: ",,,185
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,14,,"Invalid Votes: ",,,6
,"Total Votes: ",,,148,,"Total Votes: ",,,136,,"Total Votes: ",,,191
"Precinct: 42009 ","Polling Place: ",1,,,"Precinct: 42009 ","Polling Place: ",2,,,"Precinct: 42010 ","Polling Place: ",1,,
"School, Nyonken ",,,,,"School, Nyonken ",,,,,"City Hall, Fishtow n",,,,
"Registered Voters: ",571,,,,"Registered Voters: ",586,,,,"Registered Voters: ",424,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
