"code","locality","address","voters","polling.places","county","district","election.year"
"06149","Tomue Palava Hut","Tomue",811,2,"Bong",2,2014
"06154","J.f. Clark Kindergaten School","Gbarnga",3339,7,"Bong",2,2014
"06157","Lelekpayea Community School","Lelekpayea Community",1757,4,"Bong",2,2014
"06158","N.v. Massaquoi School","Gbarnga",3316,7,"Bong",2,2014
"30240","Apostlic Building Foundation School","Oldest Congo Town",1450,3,"Montserrado",9,2014
"30349","A. Gienn Jr. High School","12st. Street, Sinkor",1200,3,"Montserrado",9,2014
"30378","Lutheran International School System","Raymond Field /fiama",1426,3,"Montserrado",9,2014
"30379","H.b. William Royal School","Vamoma Community",964,2,"Montserrado",9,2014
"30380","Barnes Foundation School","Central Lakpazee",1639,4,"Montserrado",9,2014
"30381","Barnes Foundation School","Central Lakpazee",1381,3,"Montserrado",9,2014
"30382","Building For Tomorrow School","Central Lakpazee",916,2,"Montserrado",9,2014
"30383","Building For Tomorrow School","Central Lakpazee",995,2,"Montserrado",9,2014
"30384","Nancy B. Doe Public School","Old Matad",1121,3,"Montserrado",9,2014
"30385","Nancy B. Doe Public School","Old Matad",1000,2,"Montserrado",9,2014
"30386","Sos Children Village","Old Matad",789,2,"Montserrado",9,2014
"30387","Sos Children Village","Old Matad",585,2,"Montserrado",9,2014
"30388","Emmanuel Temper School","Old Gsa Yard, 24th Street",1359,3,"Montserrado",9,2014
"30389","Bright Stone Academy","Gbangaye Town",2039,5,"Montserrado",9,2014
"30390","Wroto Town God Of Mercy School","Wroto Town",2011,5,"Montserrado",9,2014
"30392","Fiama Community School","Fiama",966,2,"Montserrado",9,2014
"30393","Fiama Community School","Fiama",921,2,"Montserrado",9,2014
"30394","Fiama Calvary Baptist School","Fiama",872,2,"Montserrado",9,2014
"30395","Fiama Calvary Baptist School","Fiama",884,2,"Montserrado",9,2014
"30396","Philip Perparatory School","Ica Community",1273,3,"Montserrado",9,2014
"30397","Philip Perparatory School","Ica Community",1250,3,"Montserrado",9,2014
"30398","St. Peter Lutheran School","14th Street, Sinkor",962,2,"Montserrado",9,2014
"30399","St. Peter Lutheran School","14th Street, Sinkor",809,2,"Montserrado",9,2014
"30400","Smythe Institue","16th Street, Sinkor",1935,4,"Montserrado",9,2014
"30401","Calvary Baptish School","17th Street, Sinkor",1291,3,"Montserrado",9,2014
"30402","Acfi Lacy Kofi Memorial Academy","People United Comm., 20th Street",1398,3,"Montserrado",9,2014
"30403","St. Mark School","Sinkor Airfield Community",1636,4,"Montserrado",9,2014
"30404","New Matadi Community School","New Matadi",2364,5,"Montserrado",9,2014
"30405","Child Foundation Academy","Fiama",1184,3,"Montserrado",9,2014
"30406","Don Bosco Youth Center","New Matadi",2213,5,"Montserrado",9,2014
"30004","Steve-ernest Memorial Christian Academy","Barchue Town",458,1,"Montserrado",10,2014
"30024","Faith Foundation","Catholic Hospital",1565,4,"Montserrado",10,2014
"30025","Jhp Hope Academy","Catholic Hospital",1235,3,"Montserrado",10,2014
"30060","Greater Works Academy","Chugbor",1945,4,"Montserrado",10,2014
"30061","Better Future Christian Institute","Chugbor",1556,4,"Montserrado",10,2014
"30062","R.c. Lawson Institute","Congo Town",1786,4,"Montserrado",10,2014
"30063","Joe B. Tate School","Congo Town",1259,3,"Montserrado",10,2014
"30064","Susan Berry School","Congo Town",1936,4,"Montserrado",10,2014
"30065","Wells-hairston School","Vp Road",1048,3,"Montserrado",10,2014
"30066","Open Bible School","Congo Town Old Road",674,2,"Montserrado",10,2014
"30067","Open Bible School","Congo Town Old Road",739,2,"Montserrado",10,2014
"30077","A.g.m. School Building","Divine - Togba Camp",921,2,"Montserrado",10,2014
"30078","Namuwa English & Arabic School","Divine - Togba Camp",1783,4,"Montserrado",10,2014
"30133","Gaye Town Public School","Gaye Town Community",1841,4,"Montserrado",10,2014
"30134","St. Andrew Lutheran School","Gaye Town Community",1922,4,"Montserrado",10,2014
"30173","Bethlehem Baptist School","Key And Death Hole",719,2,"Montserrado",10,2014
"30174","People Institute Building","Key And Death Hole",1064,3,"Montserrado",10,2014
"30233","Nippay Town Public School","Nippay Town",1384,3,"Montserrado",10,2014
"30241","Fofana Islamic School","Oldest Congo Town",743,2,"Montserrado",10,2014
"30242","Mason Center School","Oldest Congo Town",2049,5,"Montserrado",10,2014
"30251","Peace Island Community School","Peace Island, Congo Town",2032,5,"Montserrado",10,2014
"30252","Deolakeh Memorial Elem. & Jr. High School","Peace Island, Congo Town",1564,4,"Montserrado",10,2014
"30291","Ford Madden Christian Academy","Smythe Road",1801,4,"Montserrado",10,2014
"30292","Guildford George Tompkins Jr.& Sr. High Schoo","Smythe Road",1098,3,"Montserrado",10,2014
"30304","Rebecca J. Wilson Elem. School","Tarr Town, Old Road",1368,3,"Montserrado",10,2014
"30305","Bethel Temple African Glory Pentacostal Churc","Tarr Town, Old Road",978,2,"Montserrado",10,2014
"30306","Amalca Cabral Estate Palava Hut","Amalca Cabral Estate, Old Road",2425,5,"Montserrado",10,2014
"30006","E. Jonathan Goodridge School","Barnersville Estate",2394,5,"Montserrado",11,2014
"30007","E. Jonathan Goodridge School","Barnersville Estate",2730,6,"Montserrado",11,2014
"30008","Gardnersville Town Hall","Barnersville Road",2094,5,"Montserrado",11,2014
"30009","Step Of Faith Academy"," Patience Shop Barnersville Road",1320,3,"Montserrado",11,2014
"30013","Bardnersville Community Institute","Behwein Community, Bardnersville",1127,3,"Montserrado",11,2014
"30014","Shirley Kolmer Catholic School","Behwein Community, Bardnersville",1589,4,"Montserrado",11,2014
"30023","Caldwell Market","Caldwell Market",3110,7,"Montserrado",11,2014
"30073","Bardnesville Public School","Behind The Town Hall, Dabwe Town, Bardnesvill",1552,5,"Montserrado",11,2014
"30074","(j & M) Jerbo & Martha Jr. High School","Day Break Mouth Open",1879,4,"Montserrado",11,2014
"30079","Dixville Public School","Dixville A",970,2,"Montserrado",11,2014
"30090","Grace Baptist Church School","Duan Town",2484,5,"Montserrado",11,2014
"30144","Lombardia International School System","Grass Field",1045,3,"Montserrado",11,2014
"30145","Lombardia International School System","Grass Field",958,2,"Montserrado",11,2014
"30154","Duja School","J.e. Marshall",1213,3,"Montserrado",11,2014
"30155","Jimmy Jolocon School","Supermarket Community",2552,6,"Montserrado",11,2014
"30158","Seku Ibrahim Sheriff Elem. & Jr. High School","J.j.y. - Snow Hill",1815,4,"Montserrado",11,2014
"30168","Bardnersville Town Hall","Kaba Town",1815,4,"Montserrado",11,2014
"30169","New Life Christian Academy","Kaba Town",2691,6,"Montserrado",11,2014
"30269","Samukal Community Center","Samukai Town, Caldwell",1228,3,"Montserrado",11,2014
"30326","E.t.m.i School","Upper Caldwell",1124,3,"Montserrado",11,2014
"30010","West African Christian Institute","Opp. Stephen Tolbert Estate, River View",728,2,"Montserrado",12,2014
"30051","Wells-hairston School","Chicken Soup Factory",2659,6,"Montserrado",12,2014
"30052","Wells-hairston School","Chicken Soup Factory",1866,4,"Montserrado",12,2014
"30053","A.g.m. School","Chicken Soup Factory",1523,4,"Montserrado",12,2014
"30054","Christain David Elem & Jr. High School","Chicken Soup Factory",955,2,"Montserrado",12,2014
"30055","Free Penticostal Global Mission Church","Opp. The Market/ Chicken Soup Factory",1810,4,"Montserrado",12,2014
"30157","St. Philip School","Snow Hill",2765,6,"Montserrado",12,2014
"30159","James Tue High School","J.j.y. - Snow Hill",1319,3,"Montserrado",12,2014
"30164","Emmanuel Community Polytechnic Jr. & Sr. Sch","Dry Rice Market Community, Johnsonville Road",1713,3,"Montserrado",12,2014
"30165","Emmanuel Community Polytechnic Jr. & Sr. Sch","Dry Rice Market Community, Johnsonville Road",1488,3,"Montserrado",12,2014
"30166","Euphemia Abdullia Primary Public School","Karduma Community, Johnsonville Road B",809,2,"Montserrado",12,2014
"30167","Euphemia Abdullia Primary Public School","Karduma Community, Johnsonville Road B",873,2,"Montserrado",12,2014
"30171","Star International Academy","Kesselly Boulevard",1608,4,"Montserrado",12,2014
"30172","Wisdom Home Heritage Elem. School","Kesselly Boulevard",1010,3,"Montserrado",12,2014
"30216","St. Magarette School System","Mta",1740,4,"Montserrado",12,2014
"30217","Liberia Christian Community College","Mta",2683,6,"Montserrado",12,2014
"30264","Ophanage/waci","Opp. Stephen Tolbert Estate, River View",653,2,"Montserrado",12,2014
"30265","Maranatha A.g.m School","Opp. Stephen Tolbert Estate, River View",1138,3,"Montserrado",12,2014
"30281","Picoli Preparatory School","Shoe Factory",1977,4,"Montserrado",12,2014
"30282","Richand Hunter Elem & Jr.high School","Lprc Road, Shoe Factory",2495,6,"Montserrado",12,2014
"30294","Special Project School","Stephen Tolbert Estate",1790,4,"Montserrado",12,2014
"30295","Wesleyan School","Stephen Tolbert Estate",1763,4,"Montserrado",12,2014
"30012","Mother Kebbeh's Academy","Battery Factory",905,2,"Montserrado",13,2014
"30056","Allen Bryant School","Chocolate City A",1356,3,"Montserrado",13,2014
"30057","Allen Bryant School","Chocolate City A",1267,3,"Montserrado",13,2014
"30058","Deaf Ministry Inc/ Elizabeth Silem School Of H ","Chocolate City B",1072,3,"Montserrado",13,2014
"30059","Elizabeth Blunt Elem & Jr. High School","Chocolate City B",948,2,"Montserrado",13,2014
"30118","Flahn Town Community School","Flahn Town/opp. Topoe Village",1099,3,"Montserrado",13,2014
"30130","R & R Central","Free Port Community",1941,4,"Montserrado",13,2014
"30131","R & R Central","Free Port Community",1927,4,"Montserrado",13,2014
"30146","Kula Memorial Academy","Grass Field",1627,4,"Montserrado",13,2014
"30152","Freeway Baptish School","Iron Factory",783,2,"Montserrado",13,2014
"30153","Freeway Baptish School","Iron Factory",983,2,"Montserrado",13,2014
"30156","St. Michael's Catholic School","Supermarket Community",2698,6,"Montserrado",13,2014
"30161","Trumpet Of Faith School","Jamaica Road",1041,3,"Montserrado",13,2014
"30209","St. James Episcopal Church","Mangrove Island",694,2,"Montserrado",13,2014
"30218","St. Michael Catholic High School","New Georgia Road",1888,4,"Montserrado",13,2014
"30219","St. Michael Catholic High School","New Georgia Road",1683,4,"Montserrado",13,2014
"30220","Christiana Comfort Bedell Preparatory School","New Georgia Estate",2066,5,"Montserrado",13,2014
"30221","William Gabriel Kpolleh Memorial High School","New Georgia Estate",3302,7,"Montserrado",13,2014
"30222","Jennie Prepartory School","New Georgia Estate",2156,5,"Montserrado",13,2014
"30237","Kula Memorial Academy","Grass Field",2047,5,"Montserrado",13,2014
"30238","Grace A.g.m School","Old Field Gulf/sign Board",1388,3,"Montserrado",13,2014
"30239","Grace A.g.m. School","Old Field Gulf/sign Board",1050,3,"Montserrado",13,2014
"30293","Freeway Baptist School","Iron Factory",986,2,"Montserrado",13,2014
"30296","New Life School","Opp. Plank Field, Battery Factory",1772,4,"Montserrado",13,2014
"30314","Salvation & Deliverance Christ Academy","Topoe Village",1903,4,"Montserrado",13,2014
"30315","Henri W. Dennis Methodist School","Topoe Village",1578,4,"Montserrado",13,2014
"30030","Central Clara Town Hut","Central Clara Town I",2057,5,"Montserrado",14,2014
"30031","Central Clara Town Hut","Central Clara Town I",2020,5,"Montserrado",14,2014
"30032","Fanina Isaac School","Central Clara Town I",1651,4,"Montserrado",14,2014
"30033","Clara Town Central High School","Central Clara Town Ii",1081,3,"Montserrado",14,2014
"30034","Clara Town Central High School","Central Clara Town Ii",902,2,"Montserrado",14,2014
"30035","James Doe Young School","Central Clara Town Ii",2152,5,"Montserrado",14,2014
"30068","Mac Foundation School","Cow Factory",1481,3,"Montserrado",14,2014
"30069","Mac Foundation School","Cow Factory",1370,3,"Montserrado",14,2014
"30139","Savaco Community School","Giblata/ Via Town",2268,5,"Montserrado",14,2014
"30150","Royal Foundation School","Hope Community/ Clara Town",814,2,"Montserrado",14,2014
"30151","Royal Foundation School","Hope Community / Clara Town",999,2,"Montserrado",14,2014
"30249","Paity Town Gas Station","Paity Town/ Clara Town",696,2,"Montserrado",14,2014
"30250","Paity Town Gas Station","Paity Town / Clara Town",715,2,"Montserrado",14,2014
"30253","Ophelia Hoff Saytuman School","Peugeot Garage, Clara Town",1120,3,"Montserrado",14,2014
"30254","Timosa Elementary School","Patco Yard, Freeport",2251,5,"Montserrado",14,2014
"30266","Marvia Sonu Elem. School","River View, Clara Town",1058,3,"Montserrado",14,2014
"30267","Marvia Sonu Elem. School","River View, Clara Town",1097,3,"Montserrado",14,2014
"30268","Marvia Sonu Elem. School","River View, Clara Town",978,2,"Montserrado",14,2014
"30297","Maude Popla Memorial School","Struggle Community",2428,5,"Montserrado",14,2014
"30298","S.k.d. Community Elem. School","Struggle Community",1533,4,"Montserrado",14,2014
"30299","S.k.d. Community Elem. School","Struggle Community",1546,4,"Montserrado",14,2014
"30300","Busroad Memorial Institute","Struggle Community",1229,3,"Montserrado",14,2014
"30301","Busroad Memorial Institute","Struggle Community",950,3,"Montserrado",14,2014
"30337","Vai Town Market Block Factory","Vai Town A",2735,6,"Montserrado",14,2014
"30338","Imam Adullah Tunis School","Vai Town B",1374,3,"Montserrado",14,2014
"30339","Imam Adullah Tunis School","Vai Town B",1313,3,"Montserrado",14,2014
"30015","Blamo Town Palava Hut","Blamo Town, Logan Town",1331,3,"Montserrado",15,2014
"30016","Bong Mines Bridge Lutheran School","Bong Mines Bridge",507,2,"Montserrado",15,2014
"30017","Bong Mines Bridge Lutheran School","Bong Mines Bridge",492,1,"Montserrado",15,2014
"30018","King Peter Town School","Bong Mines Bridge",691,2,"Montserrado",15,2014
"30019","King Peter Town School","Bong Mines Bridge",642,2,"Montserrado",15,2014
"30020","Caldwell New Georgia Public School","Caldwell Water Side",1443,3,"Montserrado",15,2014
"30021","Sims Community School","Caldwell Community",2790,6,"Montserrado",15,2014
"30027","Marantha Baptist School","Central Caldwell",3707,8,"Montserrado",15,2014
"30037","St. Matthew United Medothist School","Central Logan Town",1140,3,"Montserrado",15,2014
"30038","St. Matthew United Medothist School","Central Logan Town",1137,3,"Montserrado",15,2014
"30039","Life Terbanacle Int'l. School","Central Logan Town",1173,3,"Montserrado",15,2014
"30040","Central Logan Town Market","Central Logan Town",1276,3,"Montserrado",15,2014
"30041","Central Logan Town Market","Central Logan Town",882,2,"Montserrado",15,2014
"30132","Logan Town New Testament Academy","Zinc Camp, Logan Town",1009,3,"Montserrado",15,2014
"30135","Samuel T. Kun School","Gbandi Town/logan Town",1366,3,"Montserrado",15,2014
"30136","Samuel T. Kun School","Gbandi Town /logan Town",1255,3,"Montserrado",15,2014
"30160","Isaac G. Mccauley School","Jamaica Road",1349,3,"Montserrado",15,2014
"30162","Boatswain Jr. High School","Jamaica Road",987,3,"Montserrado",15,2014
"30163","Boatswain Jr. High School","Jamaica Road",964,2,"Montserrado",15,2014
"30175","Kabedu Bessi School","King Peter Town",722,2,"Montserrado",15,2014
"30176","Kabedu Bessi School","King Peter Town",698,2,"Montserrado",15,2014
"30186","Donald N. K. Karanas","Little White Chapel",1585,4,"Montserrado",15,2014
"30187","Wesleyan Church","Little White Chapel",1016,3,"Montserrado",15,2014
"30188","Myrae E. Simpson Communty School","Little White Chapel",2274,5,"Montserrado",15,2014
"30327","Angeline W. Allison School","Upper Caldwell",2355,5,"Montserrado",15,2014
"30437","Joanna Antor Elem. School","Zinc Camp / Logan Town",940,2,"Montserrado",15,2014
"30438","Joanna Antor Elem. School","Zinc Camp / Logan Town",953,2,"Montserrado",15,2014
"30439","St. Edward Catholic School","Central Logan Town",975,2,"Montserrado",15,2014
"30440","St. Edward Catholic School","Central Logan Town",1019,3,"Montserrado",15,2014
"30441","St. Edward Catholic School","Central Logan Town",645,2,"Montserrado",15,2014
"30022","Wesleyan Academy","Caldwell Community",1007,3,"Montserrado",16,2014
"30042","New Kru Town Adm. Building","Central New Kru Town",2590,6,"Montserrado",16,2014
"30043","Tomorrow Children Int'l","Central New Kru Town",1747,4,"Montserrado",16,2014
"30044","Tomorrow Children Int'l","Central New Kru Town",1582,4,"Montserrado",16,2014
"30045","Greater Vision School","Central New Kru Town",1640,4,"Montserrado",16,2014
"30070","Mark Richard Jr. High School","Crab Hole, St. Paul Bridge",1165,3,"Montserrado",16,2014
"30071","Mark Richard Jr. High School","Crab Hole, St. Paul Bridge",1279,3,"Montserrado",16,2014
"30080","Samuel Slewon Doe Institute","Duala Market",1356,3,"Montserrado",16,2014
"30081","Victor Molu Institue","Duala Market",1805,4,"Montserrado",16,2014
"30082","St. Mary High School","Duala Market",2064,5,"Montserrado",16,2014
"30083","St. Mary High School","Duala Market",1901,4,"Montserrado",16,2014
"30084","Diana E.davis High School","Duala Mombo Town - West",464,1,"Montserrado",16,2014
"30085","Diana E.davis High School","Duala Mombo Town - West",598,2,"Montserrado",16,2014
"30086","A.g.m. School","Duala Mombo Town - East",503,2,"Montserrado",16,2014
"30087","A.g.m. School","Duala Mombo Town - East",894,2,"Montserrado",16,2014
"30088","God Is Our Light School","Duala Mombo Town - East",812,2,"Montserrado",16,2014
"30089","God Is Our Light School","Duala Mombo Town - East",887,2,"Montserrado",16,2014
"30181","St. Thomas Elem. School","Lagoon East/ New Kru Town",964,2,"Montserrado",16,2014
"30182","New Kru Town Ag School","Lagoon East / New Kru Town",727,2,"Montserrado",16,2014
"30183","Momboe Town Community School","Lagoon East / New Kru Town",576,2,"Montserrado",16,2014
"30184","New Kru Town Jr. High School","Lagoon West / New Kru Town",431,1,"Montserrado",16,2014
"30185","New Kru Town Jr. High School","Lagoon West / New Kru Town",542,2,"Montserrado",16,2014
"30211","Nkt Elem. & Jr. High School","Monboe Town West/new Kru Town",1106,3,"Montserrado",16,2014
"30212","Nkt Elem. & Jr. High School","Monboe Town West/new Kru Town",965,2,"Montserrado",16,2014
"30234","D. Tweh High School","Nyuan Town/new Kru Town",1080,3,"Montserrado",16,2014
"30235","D. Tweh High School","Nyuan Town/new Kru Town",1095,3,"Montserrado",16,2014
"30236","D. Tweh High School","Nyuan Town /new Kru Town",1034,3,"Montserrado",16,2014
"30255","New Era School","Point Four Community",694,2,"Montserrado",16,2014
"30256","New Era School","Point Four Community",1341,2,"Montserrado",16,2014
"30259","Bishop Nah Dixon School","Popo Beach A/ New Kru Town",1549,4,"Montserrado",16,2014
"30260","Bishop Nah Dixon School","Popo Beach A / New Kru Town",1262,3,"Montserrado",16,2014
"30261","Barclay Nyenfueh School","Popo Beach B / New Kru Town",1086,3,"Montserrado",16,2014
"30316","St. Paul Bridge Elem. School","Tweh Farm",1077,3,"Montserrado",16,2014
"30317","St. Paul Bridge Elem. School","Tweh Farm",600,2,"Montserrado",16,2014
"30318","Rev. Johnson W. T. Foundation School","Lmc Compound/ St. Paul Bridge",1676,4,"Montserrado",16,2014
"30340","Triump Of God International School","Vicky Spot /logan Town",264,1,"Montserrado",16,2014
"30001","Blahn Public School","Blahn Town/ Royesville",239,1,"Montserrado",17,2014
"30005","Komah Public School","Kimba/clay Ashland",344,1,"Montserrado",17,2014
"30011","W.d. Coleman High School","Central Clay Ashland",664,2,"Montserrado",17,2014
"30026","Central Arthington Palava Hut","Cross Road, Central Arthington",624,2,"Montserrado",17,2014
"30046","Royesville Public School","Royesville",390,1,"Montserrado",17,2014
"30075","Neekon Public School","Neekon/ Arthington",334,1,"Montserrado",17,2014
"30076","Samie Public School","Samie/ Arthington",381,1,"Montserrado",17,2014
"30137","Jallabah Public School","Jawajeh/ Arthington",696,2,"Montserrado",17,2014
"30198","Sarah Barclay Public School","Zaye Town/ Virgina",2828,6,"Montserrado",17,2014
"30199","Virginia Christian Academy","Hote Africa Road / Virgina",1477,3,"Montserrado",17,2014
"30200","Banjor Public School Center","Banjor Old Road / Virgina",2550,6,"Montserrado",17,2014
"30201","Virginia Public School","Central Virginia / Virgina",806,2,"Montserrado",17,2014
"30202","Banjor United Community Center","Jartu Town / Virgina",1612,4,"Montserrado",17,2014
"30203","Pamela Kay Elem.& Jr. High School","Red Hill Community / Virgina",2972,6,"Montserrado",17,2014
"30204","Mango Town Clinic","Mango Town / Virgina",969,2,"Montserrado",17,2014
"30205","Gbarteah Palava Hut","Gbarteah Town / Virgina",1123,3,"Montserrado",17,2014
"30206","Goyee Jr. High School","Kai Town / Virgina",500,1,"Montserrado",17,2014
"30207","Fawe School Of Excellence","Red Hill / Virgina",1351,3,"Montserrado",17,2014
"30208","Bamboo Town Public School","Bamboo Town Community / Virgina",319,1,"Montserrado",17,2014
"30210","Millsburg Community Center","Central Millsburg",282,1,"Montserrado",17,2014
"30302","Pingi Town Arabic School","Pingie/ Clay Ashland",380,1,"Montserrado",17,2014
"30336","Gbondoi Public School","Gbondol/ Upper Virginia",179,1,"Montserrado",17,2014
"30341","Wesleyan School","Chase Town/ Brewerville",384,1,"Montserrado",17,2014
"30342","Zunnah Town Public School","Moulton Corner / Brewerville",127,1,"Montserrado",17,2014
"30343","A.g.m. Bible College","Ag Bible College Community / Brewerville",1597,4,"Montserrado",17,2014
"30344","Madison Public School","Parker Corner / Brewerville",1615,4,"Montserrado",17,2014
"30345","Isaac Tondo Public School","Jah Tondo / Brewerville",992,2,"Montserrado",17,2014
"30346","Old Triump Church Mission School","Central Brewerville",1630,4,"Montserrado",17,2014
"30356","Kpallah Public School","Kpallah Town / Brewerville",2483,5,"Montserrado",17,2014
"30357","Atherin School","Wilson Corner / Brewerville",1330,3,"Montserrado",17,2014
"30358","Bamasee Public School","Blamasee / Brewerville",1550,4,"Montserrado",17,2014
"30365","Ricks Institute","Ricks Institute / Brewerville",688,2,"Montserrado",17,2014
"30366","Billey Town Public School","Billey Town / Brewerville",937,2,"Montserrado",17,2014
"30367","Cheesemanburg Elem. & Jr. High School","Quenyondee/ Cheesemanburg",418,1,"Montserrado",17,2014
"30377","Lott Carey Mission School","Lott Carey / Brewerville",2763,6,"Montserrado",17,2014
"30391","Kubono Public School","Kubono / Brewerville",409,1,"Montserrado",17,2014
"30418","Sawegbeh Public School","Sawegbeh / Brewerville",257,1,"Montserrado",17,2014
"30419","Kperkor Public School","Kperkor / Brewerville",305,1,"Montserrado",17,2014
"30420","Gandema Public School","Gandema / Brewerville",282,1,"Montserrado",17,2014
"33032","Pledehyee Public School","Pledehyee",333,1,"Nimba",1,2014
"33069","Gbloyee United Methodist School","Ganta",2173,5,"Nimba",1,2014
"33071","Small Ganta Palava Hut","Ganta",955,2,"Nimba",1,2014
"33072","J.w. Pearlson School","Ganta",1996,5,"Nimba",1,2014
"33073","Ymca High School","Ganta",2233,5,"Nimba",1,2014
"33074","Yini High School","Ganta",1752,4,"Nimba",1,2014
"33075","Messiah Christian Academy","Ganta",2347,5,"Nimba",1,2014
"33076","Geolando Public School","Ganta",3117,7,"Nimba",1,2014
"33077","Vision International School","Ganta",2008,5,"Nimba",1,2014
"33078","Foundation Academic Day Care & Elem School","Ganta",1547,4,"Nimba",1,2014
"33079","Gbartu Quarter Palava Hut","Ganta",2884,6,"Nimba",1,2014
"33080","Liberty Christian Institute","Ganta",1704,4,"Nimba",1,2014
"33081","Ganta Rehab Palava Hut","Ganta",782,2,"Nimba",1,2014
"33132","George Dumber School","Nengben",1199,3,"Nimba",1,2014
"33188","Yelekoryee Public School","Yelekoryee",280,1,"Nimba",1,2014
"06035","Gbaota Public School","Gbaota",1137,3,"Bong",3,2014
"06036","Gbarmue Public School","Gbarmue",1065,3,"Bong",3,2014
"06037","Gbarnay Palava Hut","Gbarnay",406,1,"Bong",3,2014
"06038","Gbelekpalah Public School","Gbelekpalah",507,2,"Bong",3,2014
"06068","Kayata Sda Church","Kayata Town",834,2,"Bong",3,2014
"06069","Voloblai Palava Hut","Voloblai",464,1,"Bong",3,2014
"06074","Kpanyea Palava Hut","Kpanyea",859,2,"Bong",3,2014
"06075","Jinnepeleta Public School","Jinnepeleta Community",926,2,"Bong",3,2014
"06085","Melekei Palava Hut","Melekei",828,2,"Bong",3,2014
"06121","Wainsue Public School","Wainsue",1322,3,"Bong",3,2014
"06123","Wongbai Palava Hut","Wongbai",495,1,"Bong",3,2014
"06150","Won-a-nie School","Gbarnga Barrack",2625,6,"Bong",3,2014
"06151","Gboveh High School","Gboveh High Community",2282,5,"Bong",3,2014
"06152","John F. Barkalu School","Gbarnga",2911,6,"Bong",3,2014
"06153","Gbarnga Sport Stadium","Millionare Quanters",2600,6,"Bong",3,2014
"06155","Tubman Gary High School","Methodist Compound",3115,7,"Bong",3,2014
"06156","Gbarnga Sunday Market","Gbarnga Sunday Market",3315,7,"Bong",3,2014
"33017","Boaplay Public School","Boaplay",586,2,"Nimba",2,2014
"33018","Duo Boe Public School","Duo Boe",584,2,"Nimba",2,2014
"33022","Borsonnoh Public School","Borsonnoh",1031,3,"Nimba",2,2014
"33028","Tondin Public School","Tondin",623,2,"Nimba",2,2014
"33029","Dingamon Public School","Dingamon",1571,4,"Nimba",2,2014
"33040","Zuluyee Public School","Zuluyee",666,2,"Nimba",2,2014
"33041","Gbedin Public School","Gbedin Camp #3",1282,3,"Nimba",2,2014
"33052","Gbayee Public School","Gbayee",282,1,"Nimba",2,2014
"33053","Duo Gbeah Public School","Duo Gbeah",943,2,"Nimba",2,2014
"33056","Gbeinfeela Public School","Gbeinfela",422,1,"Nimba",2,2014
"33062","Gboa Gbalasonnoh Public School","Gboa Gbalasonnoh",968,2,"Nimba",2,2014
"33063","Davoryee Public School","Davoryee",734,2,"Nimba",2,2014
"33070","Gbeisella Public School","Ganta",903,2,"Nimba",2,2014
"33089","Kpayelepula Public School","Kpayelepula",742,2,"Nimba",2,2014
"33100","Tiapa Public School","Tiapa",665,2,"Nimba",2,2014
"33124","Mao Public School","Mao",754,2,"Nimba",2,2014
"33128","Mongbain Public School","Mongbain",950,2,"Nimba",2,2014
"33145","Martha Tubman Elementary School","Sanniquellie",1664,4,"Nimba",2,2014
"33146","Shirley Memorial High School","Sanniquellie",1012,3,"Nimba",2,2014
"33147","Dahnlorpa Community School","Sanniquellie",827,2,"Nimba",2,2014
"33148","Bunah Suah's Compound","Sanniquellie",2096,5,"Nimba",2,2014
"33149","St. Mary Elementary School","Sanniquellie",1598,4,"Nimba",2,2014
"33154","Sehyi Kmpa Public School","Sehyi Kimpa",1031,3,"Nimba",2,2014
"33155","Suakarzue Public School","Suakarzue",664,2,"Nimba",2,2014
"33156","Sopea Public School","Sopea",590,2,"Nimba",2,2014
"33167","Duo Tiayee Public School","Duo Tiayee",787,2,"Nimba",2,2014
"33169","Kitoma Public School","Kitoma",589,2,"Nimba",2,2014
"33182","Busie Public School","Busie",952,2,"Nimba",2,2014
"33183","Lehgain Public School","Lehgain",386,1,"Nimba",2,2014
"33185","Duo Gorton Public School","Duo Gorton",669,2,"Nimba",2,2014
"33203","Zolowee Public School","Zolowee",1088,3,"Nimba",2,2014
"33204","Sehyi-geh Baptist Compound","Sehyi-geh",718,2,"Nimba",2,2014
"33012","Beintonwin Public School","Beintonwin",742,2,"Nimba",3,2014
"33021","Bonla Public School","Bonla",699,2,"Nimba",3,2014
"33035","Duoplay Public School","Duoplay",1946,4,"Nimba",3,2014
"33047","Gbapa Public School","Gbapa",1394,3,"Nimba",3,2014
"33057","Gbeleyee Public School","Gbeleyee",703,2,"Nimba",3,2014
"33064","Gbondin Public School","Gbondin",1094,3,"Nimba",3,2014
"33091","Guagortuo Public School","Guagortuo",1501,4,"Nimba",3,2014
"33097","Karnplay City Mayor Office","Karnplay",1012,3,"Nimba",3,2014
"33098","Karn High School","Karnplay",1285,3,"Nimba",3,2014
"33099","Karnplay Market","Karnplay",2125,5,"Nimba",3,2014
"33103","Kenlay # 1 Public School","Kenlay # 1",598,2,"Nimba",3,2014
"33116","Larpea # 1 Public School","Larpea # 1",1151,3,"Nimba",3,2014
"33118","Manbor Public School","Manbor",1050,3,"Nimba",3,2014
"33121","Lugbeyee Public School","Lugbeyee",1088,3,"Nimba",3,2014
"33133","Old Yekepa Lass High School","Old Yekepa",864,2,"Nimba",3,2014
