INFO 2015-03-20 03:03:09,980: Saved Bomi, FefehTown Public School (round 1): http://www.necliberia.org/results2011/pp_results/03035.html
INFO 2015-03-20 03:03:12,131: Saved Bomi, Geveh Fahnsee Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03036.html
INFO 2015-03-20 03:03:14,257: Saved Bomi, Kowadee Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03037.html
INFO 2015-03-20 03:03:15,370: Saved Bomi, Gowein Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03038.html
INFO 2015-03-20 03:03:17,495: Saved Bomi, Gbakendu Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03039.html
INFO 2015-03-20 03:03:19,641: Saved Bomi, Malema Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03040.html
INFO 2015-03-20 03:03:20,792: Saved Bomi, Manjama Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03041.html
INFO 2015-03-20 03:03:21,893: Saved Bomi, Sackie Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03042.html
INFO 2015-03-20 03:03:24,052: Saved Bomi, Klay Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03043.html
INFO 2015-03-20 03:03:26,177: Saved Bomi, Government Farm Klay Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03044.html
INFO 2015-03-20 03:03:28,289: Saved Bomi, Vortor Town Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03045.html
INFO 2015-03-20 03:03:29,383: Saved Bomi, Weajor Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03046.html
INFO 2015-03-20 03:03:31,500: Saved Bomi, Red Hill Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03047.html
INFO 2015-03-20 03:03:33,629: Saved Bomi, Beajojoâs Clinic (round 1): http://www.necliberia.org/results2011/pp_results/03048.html
INFO 2015-03-20 03:03:34,756: Saved Bomi, Zamian Town Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03049.html
INFO 2015-03-20 03:03:35,896: Saved Bomi, Zohnbaimon Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03050.html
INFO 2015-03-20 03:03:38,013: Saved Bomi, Zordee Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03051.html
INFO 2015-03-20 03:03:40,132: Saved Bomi, Monnoh Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03052.html
INFO 2015-03-20 03:03:41,259: Saved Bomi, Quassia Town Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03053.html
INFO 2015-03-20 03:03:42,383: Saved Bomi, Big Geveh Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03054.html
INFO 2015-03-20 03:03:44,506: Saved Bomi, Gbai Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03055.html
INFO 2015-03-20 03:03:45,614: Saved Bomi, Gbao Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03056.html
INFO 2015-03-20 03:03:46,744: Saved Bomi, Gbojah Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03057.html
INFO 2015-03-20 03:03:47,871: Saved Bomi, Kpakla Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03058.html
INFO 2015-03-20 03:03:48,971: Saved Bomi, Maloma Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03059.html
INFO 2015-03-20 03:03:50,095: Saved Bomi, Mecca Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03060.html
INFO 2015-03-20 03:03:51,225: Saved Bomi, Moila Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03061.html
INFO 2015-03-20 03:03:52,345: Saved Bomi, Sonodee Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03062.html
INFO 2015-03-20 03:03:54,476: Saved Bomi, Alasala Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03063.html
INFO 2015-03-20 03:03:56,617: Saved Bomi, Suehn Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03064.html
INFO 2015-03-20 03:03:58,752: Saved Bomi, Mulbah Town Hall (round 1): http://www.necliberia.org/results2011/pp_results/03065.html
INFO 2015-03-20 03:03:59,868: Saved Bomi, Zuwah Town Palava Hut (round 1): http://www.necliberia.org/results2011/pp_results/03066.html
INFO 2015-03-20 03:04:01,995: Saved Bomi, Weakama Public School (round 1): http://www.necliberia.org/results2011/pp_results/03067.html
INFO 2015-03-20 03:04:04,176: Saved Bomi, Jimina A. Wilson Public School (round 1): http://www.necliberia.org/results2011/pp_results/03068.html
