INFO 2015-03-20 16:00:26,964: Saved Lofa, Kamatahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21035.html
INFO 2015-03-20 16:00:29,063: Saved Lofa, Fokolahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21036.html
INFO 2015-03-20 16:00:30,178: Saved Lofa, Taninahun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21037.html
INFO 2015-03-20 16:00:32,278: Saved Lofa, Karzah Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21038.html
INFO 2015-03-20 16:00:33,374: Saved Lofa, Wobeyammai Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21039.html
INFO 2015-03-20 16:00:35,489: Saved Lofa, Bazagizia, Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21040.html
INFO 2015-03-20 16:00:37,610: Saved Lofa, Betejama Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21041.html
INFO 2015-03-20 16:00:39,713: Saved Lofa, Kilewu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21042.html
INFO 2015-03-20 16:00:41,806: Saved Lofa, Kimbaloe Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21043.html
INFO 2015-03-20 16:00:42,907: Saved Lofa, Konia Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21044.html
INFO 2015-03-20 16:00:43,993: Saved Lofa, Luyeama Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21045.html
INFO 2015-03-20 16:00:45,149: Saved Lofa, Worsongar Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21046.html
INFO 2015-03-20 16:00:46,315: Saved Lofa, Wahbengu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21047.html
INFO 2015-03-20 16:00:47,419: Saved Lofa, Folima Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21048.html
INFO 2015-03-20 16:00:49,522: Saved Lofa, Kamalah Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21049.html
INFO 2015-03-20 16:00:51,637: Saved Lofa, Kpadehmai Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21050.html
INFO 2015-03-20 16:00:52,726: Saved Lofa, Langbemba Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21051.html
INFO 2015-03-20 16:00:53,809: Saved Lofa, Kpagamai Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21052.html
INFO 2015-03-20 16:00:55,909: Saved Lofa, Kpaiyea Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21053.html
INFO 2015-03-20 16:00:56,994: Saved Lofa, Zeayorzu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21054.html
INFO 2015-03-20 16:00:58,089: Saved Lofa, Kpakamai Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21055.html
