Voting ,"","","","",General 
Precinct ,COUNTY :RIVER GEE ,"",ELECTORAL DISTRICT : 2 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
42005 ,Geeken Public School ,"",Geeken ,518 ,2
42008 ,Jarkaken Public School ,"",Jarkaken ,1491 ,3
42010 ,Jaytoken Public School ,"",Jaytoken ,602 ,2
42011 ,Joquiken A.G. Church ,"",Joquiken ,1408 ,3
42015 ,Konken Town Hall ,"",Konken #1 ,452 ,1
42019 ,Paroken Public School ,"",Paroken ,785 ,2
42020 ,Juwelbo Public School ,"",Juwelbo ,360 ,1
42021 ,Pronoken A.G. Church ,"",Pronoken ,1112 ,3
42023 ,Lutheran Elem. School ,"",Jayproken ,392 ,1
42031 ,Fish Town Demonstration School ,"",Fish Town City ,3428 ,7
