Voting ,"","","","",General 
Precinct ,COUNTY :RIVER GEE ,"",ELECTORAL DISTRICT : 1 ,"",Polling 
Code ,Locality ,"",Address ,Voters ,Places
42001 ,Cherboken Public School ,"",Cheboken ,877 ,2
42003 ,Dweaken Town Hall ,"",Dweaken ,845 ,2
42012 ,J.J. Geleplay Elem. School ,"",Kanweaken ,3526 ,8
42013 ,Waplo Memorial Institute ,"",Killepo Kanweakea ,1551 ,4
42018 ,Nyonken Town Hall ,"",Nyonken ,1799 ,4
42022 ,Tiah Memorial Academy ,"",Putuken ,1159 ,3
42024 ,Saywonken Town Hall ,"",Saywonken ,432 ,1
42026 ,Torroeken Town Hall ,"",Torroken ,80 ,1
42029 ,Krakree Public School ,"",Krakree ,538 ,2
