Code ,Locality ,Address ,Voters ,Places,""
45009 ,Bombomah Public School ,Bombomah ,693 ,"",2
45010 ,Fallah Palava Hut ,Fassah ,294 ,"",1
45019 ,Gbarngay School ,Gbarngay ,832 ,"",2
45022 ,Gbaryama Town Hall ,Gbaryama ,913 ,"",2
45023 ,Gokallah Palava Hut ,Gokallah ,1557 ,"",4
45033 ,Gedema Public School ,Gedema ,906 ,"",2
45040 ,Nyeamah School ,Nyeamah ,366 ,"",1
45048 ,Tawalata Town Hall ,Tawalata ,280 ,"",1
45049 ,Henry Town Palava Hut ,Henry ,2470 ,"",6
45050 ,Manorwella Public School ,Manorwella ,202 ,"",1
45053 ,Totoquelleh Public School ,Totoquelleh ,1170 ,"",3
45060 ,Bopolu Central High School ,Bopolu ,3232 ,"",7
45061 ,Gbarquoita Town Hall ,Guyan-ta ,732 ,"",2
