election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"FOLEE, Eric Deiojue Kitue",21,CDC,Senate,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"GOE, Mason Chumue",164,APD,Senate,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"HUTCHINS, Alexander Mcknight",6,RULP,Senate,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"JEFFY, Paul R.",199,LP,Senate,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"MUSU-SCOTT, Gloria Maya",8,UP,Senate,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"NEUFVILLE, E. Danny",7,CDC,Senate,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"RAGLAND, Willie Dalleh",85,COTOL,Senate,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"TOOMEY, J. Kla",7,NPP,Senate,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"DENNIS, Sophia Diode",9,LP,House,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"SAYDEE, David Gwiah",33,APD,House,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"SMITH, Solomon Saide Nyemah",13,NPP,House,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"WAH, G. Glomah",7,UP,House,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"WALLACE, Adolphus G.",10,CDC,House,379
Maryland,27001 ,1,"Feloken Elementary School, Feloken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",301,11,312,563,51,614,301,6,307,"WILSON, Ben J.",229,COTOL,House,379
Maryland,27002 ,1,"Gbakliken Tow n Hall, Gbakliken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",213,0,213,420,0,420,208,1,209,"BARNES, Milton Nathaniel",0,LDP,Presidential,249
Maryland,27002 ,1,"Gbakliken Tow n Hall, Gbakliken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",213,0,213,420,0,420,208,1,209,"BRUMSKINE, Charles Walker",5,LP,Presidential,249
Maryland,27002 ,1,"Gbakliken Tow n Hall, Gbakliken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",213,0,213,420,0,420,208,1,209,"CONNEH, Sekou Damate",0,PRODEM,Presidential,249
Maryland,27002 ,1,"Gbakliken Tow n Hall, Gbakliken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",213,0,213,420,0,420,208,1,209,"DIVINE, SR., Samuel Raymond",0,Ind,Presidential,249
Maryland,27002 ,1,"Gbakliken Tow n Hall, Gbakliken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",213,0,213,420,0,420,208,1,209,"FARHAT, David M.",0,FDP,Presidential,249
Maryland,27002 ,1,"Gbakliken Tow n Hall, Gbakliken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",213,0,213,420,0,420,208,1,209,"JALLAH, Armah Zolu",0,NPL,Presidential,249
Maryland,27002 ,1,"Gbakliken Tow n Hall, Gbakliken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",213,0,213,420,0,420,208,1,209,"JOHNSON-SIRLEAF, Ellen",37,UP,Presidential,249
Maryland,27002 ,1,"Gbakliken Tow n Hall, Gbakliken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",213,0,213,420,0,420,208,1,209,"KIADII, George Momodu",0,NATVIPOL,Presidential,249
Maryland,27002 ,1,"Gbakliken Tow n Hall, Gbakliken, Maryland ",2005,1,Maryland,"Maryland, Electoral District 1",213,0,213,420,0,420,208,1,209,"KIEH, JR., George Klay",0,NDM,Presidential,249
