election_county,precinct,polling_place,address,election_year,election_round,senate_district,house_district,pres_valid_votes,pres_invalid_votes,pres_total_votes,senate_valid_votes,senate_invalid_votes,senate_total_votes,house_valid_votes,house_invalid_votes,house_total_votes,candidate,cand_votes,cand_party,cand_race,registered_voters
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"GBOLLIE, Fayah Joe Sahr",15,UP,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"JOE, Saa Philip",39,CDC,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"JOHNSON, Lavela Koboi",16,UP,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KAMARA, Alfred S.",1,NRP,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KAMARA, Massaquoi Morlu",5,ULD,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KANDAKAI, Lwopu Gawee",15,LP,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KANNEH, Fomba",7,ALCOP,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KARBAR, Josephus M.",6,PRODEM,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KOKOLO, Flomo Yanquiwolo",4,APD,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KPARKILLEN, Stanely Sumo",30,NPP,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KUPEE, Sumo G.",244,COTOL,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"NGAIMA, SR., Samuel Kpehe",152,NDPL,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"SORSOR, SR., Kollie Massayan",12,LP,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"TALI, Phillip Saa",53,COTOL,Senate,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"FARWENEL, SR., C. Cor-Pulu Fred",80,NDM,House,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"GARMI, Jacob Mulbah",7,UP,House,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"GODSON, James K.",4,ULD,House,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"HOWARD, Beyan D.",20,LP,House,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KOLLIE, Moses Yarkpazuo",223,COTOL,House,542
Lofa,21001 ,1,"Gleh El & Jr High School, GANGLOTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",342,11,353,618,10,628,339,12,351,"KPUKUYOU, William Kulubah",5,APD,House,542
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"BARNES, Milton Nathaniel",6,LDP,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"BRUMSKINE, Charles Walker",26,LP,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"CONNEH, Sekou Damate",3,PRODEM,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"DIVINE, SR., Samuel Raymond",1,Ind,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"FARHAT, David M.",0,FDP,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"JALLAH, Armah Zolu",0,NPL,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"JOHNSON-SIRLEAF, Ellen",58,UP,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KIADII, George Momodu",0,NATVIPOL,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KIEH, JR., George Klay",1,NDM,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KORTO, Joseph D. Z.",0,LERP,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KPOTO, Robert Momo",2,ULD,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"KROMAH, Alhaji G. V.",1,ALCOP,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"MASSAQUOI, Roland Chris Yarkpah",5,NPP,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"MORLU, John Sembe",3,UDA,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"REEVES, Alfred Garpee",0,NRP,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"SHERMAN, Harry Varney Gboto-Nambi",71,COTOL,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"TIPOTEH, Togba-Nah",0,APD,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"TOR-THOMPSON, Margaret J.",1,FAPL,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"TUBMAN, William Vacanarat Shadrach",7,RULP,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"TUBMAN, Winston A.",71,NDPL,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"WEAH, George Manneh",58,CDC,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"WOAH-TEE, Joseph Mamadee",0,LPL,Presidential,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"FARKOLLIE, Joseph Hinnah",34,CDC,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"GBEGBE, Frederick Sayon",21,UDA,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"GBOLLIE, Fayah Joe Sahr",17,UP,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"JOE, Saa Philip",44,CDC,Senate,475
Lofa,21002 ,1,"Beyanta Tow n Hall, BEYANTA, Lofa ",2005,1,Lofa,"Lofa, Electoral District 4",314,7,321,579,8,587,305,12,317,"JOHNSON, Lavela Koboi",38,UP,Senate,475
